;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Rebecca Guay;black;249;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/10e/249.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/249.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/249.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/249.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/249.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/249.jpg?1517813031'};{2}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abundance;If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.;rare;Enchantment;10e;Tenth Edition;;
1;Stephen Daniele;black;63;['U'];['U'];They brandish their latest theories as warriors would wield weapons.;{'small': 'https://img.scryfall.com/cards/small/en/10e/63.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/63.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/63.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/63.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/63.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/63.jpg?1517813031'};{1}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Academy Researchers;When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.;uncommon;Creature — Human Wizard;10e;Tenth Edition;2;2
2;John Avon;black;347;['U', 'W'];[];;{'small': 'https://img.scryfall.com/cards/small/en/10e/347.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/347.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/347.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/347.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/347.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/347.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adarkar Wastes;"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.";rare;Land;10e;Tenth Edition;;
3;Roger Raupp;black;125;['B'];['B'];One rarely notices a heartbeat, save when it is stolen.;{'small': 'https://img.scryfall.com/cards/small/en/10e/125.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/125.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/125.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/125.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/125.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/125.jpg?1517813031'};{2}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Afflict;"Target creature gets -1/-1 until end of turn.
Draw a card.";common;Instant;10e;Tenth Edition;;
4;Christopher Moeller;black;250;['G'];['G'];The power of the wild, concentrated in a single charge.;{'small': 'https://img.scryfall.com/cards/small/en/10e/250.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/250.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/250.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/250.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/250.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/250.jpg?1517813031'};{1}{G};{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Aggressive Urge;"Target creature gets +1/+1 until end of turn.
Draw a card.";common;Instant;10e;Tenth Edition;;
5;Adam Rex;black;126;['B'];['B'];In the aftermath of war, when the slaying is long done, the greatest miseries come home to roost.;{'small': 'https://img.scryfall.com/cards/small/en/10e/126.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/126.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/126.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/126.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/126.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/126.jpg?1517813031'};{2}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agonizing Memories;Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.;uncommon;Sorcery;10e;Tenth Edition;;
6;Kev Walker;black;64;['U'];['U'];"""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab."" —Joseph Conrad, The Mirror of the Sea";{'small': 'https://img.scryfall.com/cards/small/en/10e/64.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/64.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/64.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/64.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/64.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/64.jpg?1517813031'};{3}{U}{U};{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Air Elemental;Flying (This creature can't be blocked except by creatures with flying or reach.);uncommon;Creature — Elemental;10e;Tenth Edition;4;4
7;Jim Murray;black;65;['U'];['U'];"""Life is a game. The only thing that matters is whether you're a pawn or a player.""";{'small': 'https://img.scryfall.com/cards/small/en/10e/65.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/65.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/65.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/65.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/65.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/65.jpg?1517813031'};{1}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ambassador Laquatus;{3}: Target player puts the top three cards of their library into their graveyard.;rare;Legendary Creature — Merfolk Wizard;10e;Tenth Edition;1;3
8;Greg Staples;black;187;['R'];['R'];"""They who challenge a minotaur enjoy the taste of their own blood."" —Mirri of the Weatherlight";{'small': 'https://img.scryfall.com/cards/small/en/10e/187.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/187.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/10e/187.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/10e/187.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/187.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/187.jpg?1517813031'};{3}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anaba Bodyguard;First strike (This creature deals combat damage before creatures without first strike.);common;Creature — Minotaur;10e;Tenth Edition;2;3
9;Pete Venters;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/10e/1.jpg?1535353539', 'normal': 'https://img.scryfall.com/cards/normal/en/10e/1.jpg?1535353539', 'large': 'https://img.scryfall.com/cards/large/en/10e/1.jpg?1535353539', 'png': 'https://img.scryfall.com/cards/png/en/10e/1.png?1535353539', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/10e/1.jpg?1535353539', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/10e/1.jpg?1535353539'};{5}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancestor's Chosen;"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.";uncommon;Creature — Human Cleric;10e;Tenth Edition;4;4
