;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;John Matson;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/5dn/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/1.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abuna's Chant;"Choose one —
• You gain 5 life.
• Prevent the next 5 damage that would be dealt to target creature this turn.
Entwine {2} (Choose both if you pay the entwine cost.)";common;Instant;5dn;Fifth Dawn;;
1;Daren Bader;black;21;['U'];['U'];"Sometimes ""innovation"" means ""stealing another's secret before anyone else can.""";{'small': 'https://img.scryfall.com/cards/small/en/5dn/21.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/21.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/21.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/21.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/21.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/21.jpg?1517813031'};{3}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Acquire;Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles their library.;rare;Sorcery;5dn;Fifth Dawn;;
2;Scott M. Fischer;black;22;['U'];['U'];"""They are like their vedalken masters: untouchable, aloof, and omnipresent."" —Bruenna, Neurok leader";{'small': 'https://img.scryfall.com/cards/small/en/5dn/22.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/22.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/22.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/22.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/22.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/22.jpg?1517813031'};{3}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Advanced Hoverguard;"Flying
{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)";common;Creature — Drone;5dn;Fifth Dawn;2;2
3;Glen Angus;black;81;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/5dn/81.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/81.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/81.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/81.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/81.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/81.jpg?1517813031'};{4}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};All Suns' Dawn;For each color, return up to one target card of that color from your graveyard to your hand. Exile All Suns' Dawn.;rare;Sorcery;5dn;Fifth Dawn;;
4;Jeff Easley;black;101;[];[];These machines build fearsome visages out of scrap metal to scare off predators who would otherwise be eager to consume them.;{'small': 'https://img.scryfall.com/cards/small/en/5dn/101.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/101.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/101.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/101.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/101.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/101.jpg?1517813031'};{5};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anodet Lurker;When Anodet Lurker dies, you gain 3 life.;common;Artifact Creature — Construct;5dn;Fifth Dawn;3;3
5;Greg Staples;black;102;[];[];It follows the green sun over Mirrodin's surface, spinning massive webs of whispersilk as it goes.;{'small': 'https://img.scryfall.com/cards/small/en/5dn/102.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/102.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/102.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/102.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/102.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/102.jpg?1517813031'};{6};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arachnoid;Reach (This creature can block creatures with flying.);uncommon;Artifact Creature — Spider;5dn;Fifth Dawn;2;6
6;Christopher Moeller;black;103;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/5dn/103.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/103.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/103.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/103.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/103.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/103.jpg?1517813031'};{6};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcbound Wanderer;Modular—Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it. When it dies, you may put its +1/+1 counters on target artifact creature.);uncommon;Artifact Creature — Golem;5dn;Fifth Dawn;0;0
7;Doug Chaffee;black;2;['W'];['W'];"Raksha watched as the goblins continued to pour onto the Razor Fields. ""They just don't know when to stop, do they?""";{'small': 'https://img.scryfall.com/cards/small/en/5dn/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/2.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armed Response;Armed Response deals damage to target attacking creature equal to the number of Equipment you control.;common;Instant;5dn;Fifth Dawn;;
8;Wayne England;black;23;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/5dn/23.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/23.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/23.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/23.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/23.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/23.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Artificer's Intuition;{U}, Discard an artifact card: Search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. Then shuffle your library.;rare;Enchantment;5dn;Fifth Dawn;;
9;Michael Sutfin;black;3;['W'];['W'];"""Her will shall banish the shadows. Her might shall punish the lawless. Her beauty shall restore the light."" —Ushanti, leonin seer";{'small': 'https://img.scryfall.com/cards/small/en/5dn/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/3.jpg?1517813031'};{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Auriok Champion;"Protection from black and from red
Whenever another creature enters the battlefield, you may gain 1 life.";rare;Creature — Human Cleric;5dn;Fifth Dawn;1;1
10;Randy Gallegos;black;4;['W'];['W'];"""Memnarch or the vedalken salvage most of the large machines, leaving us only scraps. Scraps are enough.""";{'small': 'https://img.scryfall.com/cards/small/en/5dn/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/5dn/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/5dn/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/5dn/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/5dn/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/5dn/4.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Auriok Salvagers;{1}{W}: Return target artifact card with converted mana cost 1 or less from your graveyard to your hand.;uncommon;Creature — Human Soldier;5dn;Fifth Dawn;2;4
