;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Michael Sutfin;white;117;['B'];['B'];To gaze under its hood is to invite death.;{'small': 'https://img.scryfall.com/cards/small/en/8ed/117.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/117.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/117.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/117.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/117.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/117.jpg?1517813031'};{2}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abyssal Specter;"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.";uncommon;Creature — Specter;8ed;Eighth Edition;2;3
1;Wayne England;white;59;['U'];['U'];Pray that it doesn't seek the safety of your lungs.;{'small': 'https://img.scryfall.com/cards/small/en/8ed/59.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/59.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/59.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/59.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/59.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/59.jpg?1517813031'};{3}{U}{U};{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Air Elemental;Flying (This creature can't be blocked except by creatures with flying or reach.);uncommon;Creature — Elemental;8ed;Eighth Edition;4;4
2;Dave Dorman;white;291;[];[];"""A good lamp will light your way. A good ring will clear it."" —Nervan, royal jeweler";{'small': 'https://img.scryfall.com/cards/small/en/8ed/291.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/291.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/291.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/291.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/291.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/291.jpg?1517813031'};{8};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aladdin's Ring;{8}, {T}: Aladdin's Ring deals 4 damage to any target.;rare;Artifact;8ed;Eighth Edition;;
3;Junko Taguchi;white;118;['B'];['B'];"""Knowledge demands sacrifice.""";{'small': 'https://img.scryfall.com/cards/small/en/8ed/118.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/118.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/118.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/118.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/118.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/118.jpg?1517813031'};{3}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ambition's Cost;You draw three cards and you lose 3 life.;uncommon;Sorcery;8ed;Eighth Edition;;
4;Alex Horley-Orlandelli;white;175;['R'];['R'];Just try taking this bull by the horns.;{'small': 'https://img.scryfall.com/cards/small/en/8ed/175.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/175.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/175.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/175.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/175.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/175.jpg?1517813031'};{3}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anaba Shaman;{R}, {T}: Anaba Shaman deals 1 damage to any target.;common;Creature — Minotaur Shaman;8ed;Eighth Edition;2;2
5;Marc Fishman;white;2;['W'];['W'];If only every message were as perfect as its bearer.;{'small': 'https://img.scryfall.com/cards/small/en/8ed/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/2.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Page;"Flying
{T}: Target attacking or blocking creature gets +1/+1 until end of turn.";common;Creature — Angel Spirit;8ed;Eighth Edition;1;1
6;Melissa A. Benson;white;1;['W'];['W'];A song of life soars over fields of blood.;{'small': 'https://img.scryfall.com/cards/small/en/8ed/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/1.jpg?1517813031'};{4}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel of Mercy;"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.";uncommon;Creature — Angel;8ed;Eighth Edition;3;3
7;Donato Giancola;white;60;['U'];['U'];"""Words—so innocent and powerless are they, as standing in a dictionary; how potent for good and evil they become to one who knows how to combine them!"" —Nathaniel Hawthorne";{'small': 'https://img.scryfall.com/cards/small/en/8ed/60.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/60.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/60.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/60.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/60.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/60.jpg?1517813031'};{2}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archivist;{T}: Draw a card.;rare;Creature — Human Wizard;8ed;Eighth Edition;1;1
8;Paolo Parente;white;3;['W'];['W'];Knights fight for honor and mercenaries fight for gold. The militia fights for hearth and home.;{'small': 'https://img.scryfall.com/cards/small/en/8ed/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/3.jpg?1517813031'};{4}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ardent Militia;Vigilance;uncommon;Creature — Human Soldier;8ed;Eighth Edition;2;5
9;Mark Zug;white;4;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/8ed/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/8ed/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/8ed/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/8ed/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/8ed/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/8ed/4.jpg?1517813031'};{6}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Avatar of Hope;"If you have 3 or less life, this spell costs {6} less to cast.
Flying
Avatar of Hope can block any number of creatures.";rare;Creature — Avatar;8ed;Eighth Edition;4;9
