;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Jeremy Jarvis;black;63;['B'];['B'];When the task spilled over into undeath, he stopped calling it his life's work.;{'small': 'https://img.scryfall.com/cards/small/en/ala/63.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/63.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/63.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/63.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/63.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/63.jpg?1517813031'};{3}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ad Nauseam;Reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost. You may repeat this process any number of times.;rare;Instant;ala;Shards of Alara;;
1;Dave Allsop;black;153;['B', 'U'];['B', 'U'];Life's circle has become inverted in Grixis. The same energy is endlessly recycled and becomes more stagnant with each pass.;{'small': 'https://img.scryfall.com/cards/small/en/ala/153.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/153.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/153.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/153.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/153.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/153.jpg?1517813031'};{U}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agony Warp;"Target creature gets -3/-0 until end of turn.
Target creature gets -0/-3 until end of turn.";common;Instant;ala;Shards of Alara;;
2;Wayne Reynolds;black;154;['R', 'W'];['R', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/ala/154.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/154.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/154.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/154.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/154.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/154.jpg?1517813031'};{2}{R}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ajani Vengeant;"+1: Target permanent doesn't untap during its controller's next untap step.
−2: Ajani Vengeant deals 3 damage to any target and you gain 3 life.
−7: Destroy all lands target player controls.";mythic;Legendary Planeswalker — Ajani;ala;Shards of Alara;;
3;Todd Lockwood;black;1;['W'];['W'];Bant's armies are primarily composed of members of the Mortar caste, loyal commoners who haven't yet earned a sigil.;{'small': 'https://img.scryfall.com/cards/small/en/ala/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/1.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akrasan Squire;Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.);common;Creature — Human Soldier;ala;Shards of Alara;1;1
4;Michael Ryan;black;123;['G'];['G'];It lurks just under the surface, using the algae-choked tar pits of Jund as both home and hunting blind.;{'small': 'https://img.scryfall.com/cards/small/en/ala/123.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/123.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/123.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/123.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/123.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/123.jpg?1517813031'};{3}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Algae Gharial;"Shroud (This creature can't be the target of spells or abilities.)
Whenever another creature dies, you may put a +1/+1 counter on Algae Gharial.";uncommon;Creature — Crocodile;ala;Shards of Alara;1;1
5;Michael Komarck;black;3;['W'];['W'];"""Even in single combat, I am never alone."" —Rafiq of the Many";{'small': 'https://img.scryfall.com/cards/small/en/ala/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/3.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Benediction;"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Whenever a creature you control attacks alone, you may tap target creature.";uncommon;Enchantment;ala;Shards of Alara;;
6;Greg Staples;black;2;['W'];['W'];Rigorous faith and belief are rewarded on occasion, and richly so.;{'small': 'https://img.scryfall.com/cards/small/en/ala/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/2.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel's Herald;{2}{W}, {T}, Sacrifice a green creature, a white creature, and a blue creature: Search your library for a card named Empyrial Archangel and put it onto the battlefield. Then shuffle your library.;uncommon;Creature — Human Cleric;ala;Shards of Alara;1;1
7;Sal Villagran;black;4;['W'];['W'];Clash of sword and cry of beast fall mute when angels sound the call to prayer.;{'small': 'https://img.scryfall.com/cards/small/en/ala/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/4.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelsong;"Prevent all combat damage that would be dealt this turn.
Cycling {2} ({2}, Discard this card: Draw a card.)";common;Instant;ala;Shards of Alara;;
8;Anthony Francisco;black;220;['B', 'U', 'W'];[];"""We must rely on our own knowledge, not on the dogma of the seekers or the mutterings of the sphinxes."" —Tullus of Palandius";{'small': 'https://img.scryfall.com/cards/small/en/ala/220.jpg?1528559644', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/220.jpg?1528559644', 'large': 'https://img.scryfall.com/cards/large/en/ala/220.jpg?1528559644', 'png': 'https://img.scryfall.com/cards/png/en/ala/220.png?1528559644', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/220.jpg?1528559644', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/220.jpg?1528559644'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcane Sanctum;"Arcane Sanctum enters the battlefield tapped.
{T}: Add {W}, {U}, or {B}.";uncommon;Land;ala;Shards of Alara;;
9;Dave Allsop;black;64;['B'];['B'];The necropolis at Unx was once a living city, its streets untrodden by death.;{'small': 'https://img.scryfall.com/cards/small/en/ala/64.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ala/64.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ala/64.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ala/64.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ala/64.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ala/64.jpg?1517813031'};{5}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archdemon of Unx;"Flying, trample
At the beginning of your upkeep, sacrifice a non-Zombie creature, then create a 2/2 black Zombie creature token.";rare;Creature — Demon;ala;Shards of Alara;6;6
