;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Richard Whitters;black;33;['B', 'R'];['B', 'R'];;{'small': 'https://img.scryfall.com/cards/small/en/arb/33.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/33.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/33.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/33.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/33.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/33.jpg?1517813031'};{1}{B}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anathemancer;"When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.
Unearth {5}{B}{R} ({5}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)";uncommon;Creature — Zombie Wizard;arb;Alara Reborn;2;2
1;Matt Stewart;black;17;['B', 'U'];['B', 'U'];This secret society of mages manipulates the beliefs and opinions of others.;{'small': 'https://img.scryfall.com/cards/small/en/arb/17.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/17.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/17.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/17.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/17.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/17.jpg?1517813031'};{2}{U}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Architects of Will;"When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.
Cycling {U/B} ({U/B}, Discard this card: Draw a card.)";common;Artifact Creature — Human Wizard;arb;Alara Reborn;3;3
2;Chippy;black;1;['U', 'W'];['U', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/arb/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/1.jpg?1517813031'};{1}{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ardent Plea;"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)";uncommon;Enchantment;arb;Alara Reborn;;
3;Ralph Horsley;black;131;['B', 'U', 'W'];['B', 'U', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/arb/131.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/131.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/131.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/131.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/131.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/131.jpg?1517813031'};{2}{W/B}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arsenal Thresher;As Arsenal Thresher enters the battlefield, you may reveal any number of other artifact cards from your hand. Arsenal Thresher enters the battlefield with a +1/+1 counter on it for each card revealed this way.;common;Artifact Creature — Construct;arb;Alara Reborn;2;2
4;Jesper Ejsing;black;2;['U', 'W'];['U', 'W'];"""If the skies are our only refuge, I will see all of us take wing.""";{'small': 'https://img.scryfall.com/cards/small/en/arb/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/2.jpg?1517813031'};{1}{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aven Mimeomancer;"Flying
At the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it.";rare;Creature — Bird Wizard;arb;Alara Reborn;3;1
5;John Avon;black;125;['G', 'U', 'W'];['G', 'U', 'W'];"""We must spread Bant's light before we are shadowed over.""";{'small': 'https://img.scryfall.com/cards/small/en/arb/125.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/125.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/125.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/125.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/125.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/125.jpg?1517813031'};{1}{G}{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bant Sojourners;"When you cycle Bant Sojourners or it dies, you may create a 1/1 white Soldier creature token.
Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)";common;Creature — Human Soldier;arb;Alara Reborn;2;4
6;Michael Komarck;black;143;['G', 'U', 'W'];['G', 'U', 'W'];Soldiers who fought through Grixis learned to hit first, recite the prayer of Asha later.;{'small': 'https://img.scryfall.com/cards/small/en/arb/143.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/143.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/143.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/143.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/143.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/143.jpg?1517813031'};{G/U}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bant Sureblade;As long as you control another multicolored permanent, Bant Sureblade gets +1/+1 and has first strike.;common;Creature — Human Soldier;arb;Alara Reborn;2;1
7;Steve Prescott;black;65;['G', 'W'];['G', 'W'];Those who worship the great gargantuans could hardly be expected to fight with a subtle weapon.;{'small': 'https://img.scryfall.com/cards/small/en/arb/65.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/65.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/65.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/65.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/65.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/65.jpg?1517813031'};{1}{G}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Behemoth Sledge;"Equipped creature gets +2/+2 and has trample and lifelink.
Equip {3}";uncommon;Artifact — Equipment;arb;Alara Reborn;;
8;Raymond Swanland;black;34;['B', 'R'];['B', 'R'];;{'small': 'https://img.scryfall.com/cards/small/en/arb/34.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/34.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/34.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/34.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/34.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/34.jpg?1517813031'};{3}{B}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bituminous Blast;"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
Bituminous Blast deals 4 damage to target creature.";uncommon;Instant;arb;Alara Reborn;;
9;Anthony S. Waters;black;49;['G', 'R'];['G', 'R'];Alarans commemorated its appearances with new holidays bearing names like the Great Cataclysm and the Fall of Ilson Gate.;{'small': 'https://img.scryfall.com/cards/small/en/arb/49.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/arb/49.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/arb/49.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/arb/49.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/arb/49.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/arb/49.jpg?1517813031'};{3}{R}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blitz Hellion;"Trample, haste
At the beginning of the end step, Blitz Hellion's owner shuffles it into their library.";rare;Creature — Hellion;arb;Alara Reborn;7;7
