;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Vincent Proce;black;167;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/avr/167.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/167.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/167.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/167.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/167.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/167.jpg?1517813031'};{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abundant Growth;"Enchant land
When Abundant Growth enters the battlefield, draw a card.
Enchanted land has ""{T}: Add one mana of any color.""";common;Enchantment — Aura;avr;Avacyn Restored;;
1;Matt Stewart;black;125;['R'];['R'];"""Barbarians! They burned my favorite chair! We'll kill them all!"" —Anje Falkenrath";{'small': 'https://img.scryfall.com/cards/small/en/avr/125.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/125.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/125.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/125.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/125.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/125.jpg?1517813031'};{3}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aggravate;Aggravate deals 1 damage to each creature target player controls. Each creature dealt damage this way attacks this turn if able.;uncommon;Instant;avr;Avacyn Restored;;
2;David Palumbo;black;42;['U'];['U'];Side effects may include foul odors, scalding steam, and spontaneous nonexistence.;{'small': 'https://img.scryfall.com/cards/small/en/avr/42.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/42.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/42.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/42.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/42.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/42.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alchemist's Apprentice;Sacrifice Alchemist's Apprentice: Draw a card.;common;Creature — Human Wizard;avr;Avacyn Restored;1;1
3;Dan Scott;black;225;['G', 'U'];[];Persecuted alchemists fled deep into Kessig's wilds, seeking solitude to continue their ghoulish craft.;{'small': 'https://img.scryfall.com/cards/small/en/avr/225.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/225.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/225.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/225.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/225.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/225.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alchemist's Refuge;"{T}: Add {C}.
{G}{U}, {T}: You may cast spells this turn as though they had flash.";rare;Land;avr;Avacyn Restored;;
4;Matt Stewart;black;43;['U'];['U'];"""I knew I'd find a use for all that newt spittle!""";{'small': 'https://img.scryfall.com/cards/small/en/avr/43.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/43.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/43.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/43.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/43.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/43.jpg?1517813031'};{3}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Amass the Components;Draw three cards, then put a card from your hand on the bottom of your library.;common;Sorcery;avr;Avacyn Restored;;
5;Daniel Ljunggren;black;212;[];[];Forged in dark hours from the flame that would not die.;{'small': 'https://img.scryfall.com/cards/small/en/avr/212.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/212.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/212.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/212.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/212.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/212.jpg?1517813031'};{3};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Armaments;"Equipped creature gets +2/+2, has flying, and is a white Angel in addition to its other colors and types.
Equip {4}";uncommon;Artifact — Equipment;avr;Avacyn Restored;;
6;Allen Williams;black;4;['W'];['W'];"""The air stirred as if fanned by angels' wings, and the enemy was turned aside."" —Tales of Ikarov the Voyager";{'small': 'https://img.scryfall.com/cards/small/en/avr/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/4.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Wall;"Defender (This creature can't attack.)
Flying";common;Creature — Wall;avr;Avacyn Restored;0;4
7;James Ryman;black;1;['W'];['W'];"""Justice isn't done until undeath is undone.""";{'small': 'https://img.scryfall.com/cards/small/en/avr/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/1.jpg?1517813031'};{5}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel of Glory's Rise;"Flying
When Angel of Glory's Rise enters the battlefield, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield.";rare;Creature — Angel;avr;Avacyn Restored;4;6
8;Terese Nielsen;black;2;['W'];['W'];"""Though Innistrad is not cleansed of evil, we finally have cause to rejoice.""";{'small': 'https://img.scryfall.com/cards/small/en/avr/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/2.jpg?1517813031'};{1}{W}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel of Jubilation;"Flying
Other nonblack creatures you control get +1/+1.
Players can't pay life or sacrifice creatures to cast spells or activate abilities.";rare;Creature — Angel;avr;Avacyn Restored;3;3
9;Greg Staples;black;3;['W'];['W'];"""I understand your fears. I pity your doubts. I absolve you of both.""";{'small': 'https://img.scryfall.com/cards/small/en/avr/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/avr/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/avr/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/avr/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/avr/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/avr/3.jpg?1517813031'};{2}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel's Mercy;You gain 7 life.;common;Instant;avr;Avacyn Restored;;
