;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Slawomir Maniak;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/bng/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/1.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Acolyte's Reward;Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.);uncommon;Instant;bng;Born of the Gods;;
1;Mike Sass;black;30;['U'];['U'];They can conjure stars from a clear sky.;{'small': 'https://img.scryfall.com/cards/small/en/bng/30.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/30.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/30.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/30.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/30.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/30.jpg?1517813031'};{3}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aerie Worshippers;Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, create a 2/2 blue Bird enchantment creature token with flying.;uncommon;Creature — Human Cleric;bng;Born of the Gods;2;4
2;James Ryman;black;87;['R'];['R'];"""The time to serve is now.""";{'small': 'https://img.scryfall.com/cards/small/en/bng/87.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/87.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/87.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/87.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/87.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/87.jpg?1517813031'};{4}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Conscriptor;Heroic — Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.;uncommon;Creature — Human Shaman;bng;Born of the Gods;3;2
3;Steve Prescott;black;2;['R', 'W'];['W'];Shields up, spears out, heels set, hearts firm.;{'small': 'https://img.scryfall.com/cards/small/en/bng/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/2.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Phalanx;"Vigilance
{2}{R}: Creatures you control get +1/+0 until end of turn.";uncommon;Creature — Human Soldier;bng;Born of the Gods;3;3
4;Mark Winters;black;3;['W'];['W'];"""Trust me. When you have earned a god's favor, you'll know.""";{'small': 'https://img.scryfall.com/cards/small/en/bng/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/3.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Skyguard;"Flying
Heroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.";common;Creature — Human Soldier;bng;Born of the Gods;1;1
5;Svetlin Velinov;black;31;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/bng/31.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/31.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/31.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/31.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/31.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/31.jpg?1517813031'};{4}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arbiter of the Ideal;"Flying
Inspired — Whenever Arbiter of the Ideal becomes untapped, reveal the top card of your library. If it's an artifact, creature, or land card, you may put it onto the battlefield with a manifestation counter on it. That permanent is an enchantment in addition to its other types.";rare;Creature — Sphinx;bng;Born of the Gods;4;5
6;Mathias Kollros;black;88;['R'];['R'];"""Did Purphoros bless Maikal because of his rage? Or did Maikal's rage blossom after he'd been blessed? Only the gods know."" —Eocles, oracle of Purphoros";{'small': 'https://img.scryfall.com/cards/small/en/bng/88.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/88.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/88.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/88.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/88.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/88.jpg?1517813031'};{1}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archetype of Aggression;"Creatures you control have trample.
Creatures your opponents control lose trample and can't have or gain trample.";uncommon;Enchantment Creature — Human Warrior;bng;Born of the Gods;3;2
7;Willian Murai;black;4;['W'];['W'];"""It has been my experience that soldiers most fervently follow generals who lead by example."" —Elspeth";{'small': 'https://img.scryfall.com/cards/small/en/bng/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/4.jpg?1517813031'};{1}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archetype of Courage;"Creatures you control have first strike.
Creatures your opponents control lose first strike and can't have or gain first strike.";uncommon;Enchantment Creature — Human Soldier;bng;Born of the Gods;2;2
8;Slawomir Maniak;black;116;['G'];['G'];Despite its fearsome stature, it is as elusive as a shadow, circling round to stalk those who presume to hunt it.;{'small': 'https://img.scryfall.com/cards/small/en/bng/116.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/116.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/116.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/116.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/116.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/116.jpg?1517813031'};{6}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archetype of Endurance;"Creatures you control have hexproof.
Creatures your opponents control lose hexproof and can't have or gain hexproof.";uncommon;Enchantment Creature — Boar;bng;Born of the Gods;6;5
9;Chris Rahn;black;58;['B'];['B'];She sees mortals not as they wish to be, but as what they will become.;{'small': 'https://img.scryfall.com/cards/small/en/bng/58.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bng/58.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bng/58.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bng/58.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bng/58.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bng/58.jpg?1517813031'};{4}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archetype of Finality;"Creatures you control have deathtouch.
Creatures your opponents control lose deathtouch and can't have or gain deathtouch.";uncommon;Enchantment Creature — Gorgon;bng;Born of the Gods;2;3
