;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Pete Venters;black;91;['R'];['R'];"""It remains unclear whether the akki shamans could in fact create storms or simply predicted them."" —The History of Kamigawa";{'small': 'https://img.scryfall.com/cards/small/en/bok/91.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/91.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/91.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/91.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/91.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/91.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Blizzard-Herder;When Akki Blizzard-Herder dies, each player sacrifices a land.;common;Creature — Goblin Shaman;bok;Betrayers of Kamigawa;1;1
1;Martina Pilcerova;black;92;['R'];['R'];Akki were very territorial, attacking and destroying any settlements that came too close to their mountain homes. The more successful their raids, the bolder they became.;{'small': 'https://img.scryfall.com/cards/small/en/bok/92.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/92.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/92.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/92.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/92.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/92.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Raider;Whenever a land is put into a graveyard from the battlefield, Akki Raider gets +1/+0 until end of turn.;uncommon;Creature — Goblin Warrior;bok;Betrayers of Kamigawa;2;1
2;Chris Appelhans;black;93;['R'];['R'];There was a dull thunder at the vanguard, then shocked cries in the midst of the column. Moments later, Takada, last of the rearguard, faced the kami alone.;{'small': 'https://img.scryfall.com/cards/small/en/bok/93.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/93.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/93.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/93.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/93.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/93.jpg?1517813031'};{5}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashen Monstrosity;"Haste
Ashen Monstrosity attacks each combat if able.";uncommon;Creature — Spirit;bok;Betrayers of Kamigawa;7;4
3;Aleksi Briclot;black;94;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/bok/94.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/94.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/94.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/94.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/94.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/94.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aura Barbs;Each enchantment deals 2 damage to its controller, then each Aura attached to a creature deals 2 damage to the creature it's attached to.;uncommon;Instant — Arcane;bok;Betrayers of Kamigawa;;
4;Edward P. Beard, Jr.;black;152;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/bok/152.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/152.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/152.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/152.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/152.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/152.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Baku Altar;"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Baku Altar.
{2}, {T}, Remove a ki counter from Baku Altar: Create a 1/1 colorless Spirit creature token.";rare;Artifact;bok;Betrayers of Kamigawa;;
5;Dany Orizio;black;61;['B'];['B'];"""The two youths argued and tempers flared. One youth opened his mouth to utter a vile curse, but what he spat out instead was a kami of poison and filth."" —Sensei Golden-Tail";{'small': 'https://img.scryfall.com/cards/small/en/bok/61.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/61.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/61.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/61.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/61.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/61.jpg?1517813031'};{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bile Urchin;Sacrifice Bile Urchin: Target player loses 1 life.;common;Creature — Spirit;bok;Betrayers of Kamigawa;1;1
6;Edward P. Beard, Jr.;black;95;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/bok/95.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/95.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/95.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/95.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/95.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/95.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blademane Baku;"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Blademane Baku.
{1}, Remove X ki counters from Blademane Baku: For each counter removed, Blademane Baku gets +2/+0 until end of turn.";common;Creature — Spirit;bok;Betrayers of Kamigawa;1;1
7;Glen Angus;black;96;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/bok/96.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/96.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/96.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/96.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/96.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/96.jpg?1517813031'};{X}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'banned', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blazing Shoal;"You may exile a red card with converted mana cost X from your hand rather than pay this spell's mana cost.
Target creature gets +X/+0 until end of turn.";rare;Instant — Arcane;bok;Betrayers of Kamigawa;;
8;Rebecca Guay;black;62;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/bok/62.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/62.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/62.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/62.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/62.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/62.jpg?1517813031'};{2}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blessing of Leeches;"Flash
Enchant creature
At the beginning of your upkeep, you lose 1 life.
{0}: Regenerate enchanted creature.";common;Enchantment — Aura;bok;Betrayers of Kamigawa;;
9;Greg Hildebrandt;black;153;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/bok/153.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/bok/153.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/bok/153.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/bok/153.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/bok/153.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/bok/153.jpg?1517813031'};{1};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blinding Powder;"Equipped creature has ""Unattach Blinding Powder: Prevent all combat damage that would be dealt to this creature this turn.""
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)";uncommon;Artifact — Equipment;bok;Betrayers of Kamigawa;;
