;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Matt Thompson;black;151;['R'];['R'];"Among Godo's hordes, ""beware of falling rocks"" came to mean ""akki live nearby.""";{'small': 'https://img.scryfall.com/cards/small/en/chk/151.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/151.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/151.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/151.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/151.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/151.jpg?1517813031'};{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Avalanchers;Sacrifice a land: Akki Avalanchers gets +2/+0 until end of turn. Activate this ability only once each turn.;common;Creature — Goblin Warrior;chk;Champions of Kamigawa;1;1
1;Nottsuo;black;152;['R'];['R'];No matter where you find them, goblins love rocks.;{'small': 'https://img.scryfall.com/cards/small/en/chk/152.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/152.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/152.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/152.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/152.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/152.jpg?1517813031'};{1}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Coalflinger;"First strike
{R}, {T}: Attacking creatures gain first strike until end of turn.";uncommon;Creature — Goblin Shaman;chk;Champions of Kamigawa;2;2
2;David Martin;black;154;['R'];['R'];The lava-proof shells of akki evolved over centuries, as akki pranks almost always got seriously out of hand.;{'small': 'https://img.scryfall.com/cards/small/en/chk/154.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/154.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/154.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/154.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/154.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/154.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Rockspeaker;When Akki Rockspeaker enters the battlefield, add {R}.;common;Creature — Goblin Shaman;chk;Champions of Kamigawa;1;1
3;Thomas M. Baxa;black;155;['R'];['R'];"""Deep inside the Sokenzan Mountains, a band of akki discovered a cache of ancient items of power. Their ensuing spree of destruction became known as 'The Three Days of Fun.'"" —Observations of the Kami War";{'small': 'https://img.scryfall.com/cards/small/en/chk/155.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/155.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/155.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/155.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/155.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/155.jpg?1517813031'};{3}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Underminer;Whenever Akki Underminer deals combat damage to a player, that player sacrifices a permanent.;uncommon;Creature — Goblin Rogue Shaman;chk;Champions of Kamigawa;1;1
4;Wayne Reynolds;black;101;['B'];['B'];When the Honden of Night's Reach began to crumble, its attendants swarmed Kamigawa to haunt mortal dreams.;{'small': 'https://img.scryfall.com/cards/small/en/chk/101.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/101.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/101.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/101.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/101.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/101.jpg?1517813031'};{1}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashen-Skin Zubera;When Ashen-Skin Zubera dies, target opponent discards a card for each Zubera that died this turn.;common;Creature — Zubera Spirit;chk;Champions of Kamigawa;1;2
5;Randy Gallegos;black;51;['U'];['U'];"""Lies and deceit do yield results, but legitimate authority is the ultimate form of control."" —Meloku the Clouded Mirror";{'small': 'https://img.scryfall.com/cards/small/en/chk/51.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/51.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/51.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/51.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/51.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/51.jpg?1517813031'};{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aura of Dominion;"Enchant creature
{1}, Tap an untapped creature you control: Untap enchanted creature.";uncommon;Enchantment — Aura;chk;Champions of Kamigawa;;
6;Ittoku;black;52;['U'];['U'];"""Choices belong to those with the luxuries of time and distance. We have neither. I recommend we proceed with the plan to destroy all shrines of the kami."" —Lady Azami, letter to Sensei Hisoka";{'small': 'https://img.scryfall.com/cards/small/en/chk/52.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/52.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/52.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/52.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/52.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/52.jpg?1517813031'};{2}{U}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azami, Lady of Scrolls;Tap an untapped Wizard you control: Draw a card.;rare;Legendary Creature — Human Wizard;chk;Champions of Kamigawa;0;2
7;Todd Lockwood;black;201;['G'];['G'];"""I do not miss Jukai Forest. It is not my home. My home is Kamigawa, its people my family. Wherever I set my pack and rest my head, I am home.""";{'small': 'https://img.scryfall.com/cards/small/en/chk/201.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/201.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/201.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/201.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/201.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/201.jpg?1517813031'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azusa, Lost but Seeking;You may play two additional lands on each of your turns.;rare;Legendary Creature — Human Monk;chk;Champions of Kamigawa;1;2
8;Wayne England;black;156;['R'];['R'];"""I fought fiercely, bravely, and without mercy. Had I not struck down my captain in the heat of battle, I might have become a hero instead of an outcast.""";{'small': 'https://img.scryfall.com/cards/small/en/chk/156.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/156.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/156.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/156.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/156.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/156.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Battle-Mad Ronin;"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)
Battle-Mad Ronin attacks each combat if able.";common;Creature — Human Samurai;chk;Champions of Kamigawa;1;1
9;Luca Zontini;black;102;['B'];['B'];"""When the rampaging kami at Reito had crushed the opposing militia, swarms of minor kami swept over the battlefield to consume all that remained."" —Great Battles of Kamigawa";{'small': 'https://img.scryfall.com/cards/small/en/chk/102.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/chk/102.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/chk/102.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/chk/102.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/chk/102.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/chk/102.jpg?1517813031'};{2}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Befoul;Destroy target land or nonblack creature. It can't be regenerated.;common;Sorcery;chk;Champions of Kamigawa;;
