;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Brandon Kitkouski;black;40;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/con/40.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/40.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/40.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/40.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/40.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/40.jpg?1517813031'};{6}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Absorb Vis;"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.)";common;Sorcery;con;Conflux;;
1;Mark Zug;black;1;['G', 'U', 'W'];['W'];They are cautious with their body language and facial expressions. Any stray movement could betray the positions of the troops they protect and cost many lives.;{'small': 'https://img.scryfall.com/cards/small/en/con/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/1.jpg?1517813031'};{4}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aerie Mystics;"Flying
{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)";uncommon;Creature — Bird Wizard;con;Conflux;3;3
2;John Avon;black;141;[];[];Built in honor of Alara's creatures, the ziggurat vanished long ago. When Progenitus awakened, the temple emerged again.;{'small': 'https://img.scryfall.com/cards/small/en/con/141.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/141.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/141.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/141.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/141.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/141.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancient Ziggurat;{T}: Add one mana of any color. Spend this mana only to cast a creature spell.;uncommon;Land;con;Conflux;;
3;Jason Chan;black;98;['G', 'R'];['G', 'R'];;{'small': 'https://img.scryfall.com/cards/small/en/con/98.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/98.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/98.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/98.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/98.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/98.jpg?1517813031'};{X}{R}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Apocalypse Hydra;"Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.
{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to any target.";mythic;Creature — Hydra;con;Conflux;0;0
4;Franz Vohwinkel;black;134;[];[];The mysterious purpose of two of the rings had eluded Esper mages—until now.;{'small': 'https://img.scryfall.com/cards/small/en/con/134.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/134.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/134.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/134.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/134.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/134.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armillary Sphere;{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.;common;Artifact;con;Conflux;;
5;Donato Giancola;black;2;['W'];['W'];As his new wings lifted him high above Bant, Taric felt his earthly aspirations transform into heavenly resolve.;{'small': 'https://img.scryfall.com/cards/small/en/con/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/2.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Asha's Favor;"Enchant creature
Enchanted creature has flying, first strike, and vigilance.";common;Enchantment — Aura;con;Conflux;;
6;David Palumbo;black;3;['W'];['W'];When the meek charge into battle, courage becomes infectious.;{'small': 'https://img.scryfall.com/cards/small/en/con/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/3.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aven Squire;"Flying
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)";common;Creature — Bird Soldier;con;Conflux;1;1
7;Chris Rahn;black;4;['W'];['W'];"""The bird wore the form of a man, bereft of filigree. Why do the Texts not speak of it?"" —Belator of Esper";{'small': 'https://img.scryfall.com/cards/small/en/con/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/4.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aven Trailblazer;"Flying
Domain — Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.";common;Creature — Bird Soldier;con;Conflux;2;*
8;Raymond Swanland;black;58;['R'];['R'];For Sarkhan Vol, the dragon is the purest expression of life's savage splendor.;{'small': 'https://img.scryfall.com/cards/small/en/con/58.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/58.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/58.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/58.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/58.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/58.jpg?1517813031'};{X}{R};{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Banefire;"Banefire deals X damage to any target.
If X is 5 or more, this spell can't be countered and the damage can't be prevented.";rare;Sorcery;con;Conflux;;
9;Jesper Ejsing;black;78;['G'];['G'];When its smoky plumes light Naya's sky, every creature from the smallest pip fawn to the largest rannet heeds the warning.;{'small': 'https://img.scryfall.com/cards/small/en/con/78.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/78.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/78.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/78.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/78.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/78.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Beacon Behemoth;{1}: Target creature with power 5 or greater gains vigilance until end of turn.;common;Creature — Beast;con;Conflux;5;3
10;Jaime Jones;black;59;['R'];['R'];A drop of blood spilled from the first dragon.;{'small': 'https://img.scryfall.com/cards/small/en/con/59.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/con/59.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/con/59.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/con/59.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/con/59.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/con/59.jpg?1517813031'};{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bloodhall Ooze;"At the beginning of your upkeep, if you control a black permanent, you may put a +1/+1 counter on Bloodhall Ooze.
At the beginning of your upkeep, if you control a green permanent, you may put a +1/+1 counter on Bloodhall Ooze.";rare;Creature — Ooze;con;Conflux;1;1
