;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Lucas Graciano;black;51;['G', 'W'];['G', 'W'];The consciousness of Mat'Selesnya does not always spread in peaceful ways.;{'small': 'https://img.scryfall.com/cards/small/en/dgm/51.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/51.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/51.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/51.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/51.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/51.jpg?1517813031'};{1}{G}{G}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Advent of the Wurm;Create a 5/5 green Wurm creature token with trample.;rare;Instant;dgm;Dragon's Maze;;
1;Tyler Jacobson;black;11;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/dgm/11.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/11.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/11.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/11.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/11.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/11.jpg?1517813031'};{4}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aetherling;"{U}: Exile Aetherling. Return it to the battlefield under its owner's control at the beginning of the next end step.
{U}: Aetherling can't be blocked this turn.
{1}: Aetherling gets +1/-1 until end of turn.
{1}: Aetherling gets -1/+1 until end of turn.";rare;Creature — Shapeshifter;dgm;Dragon's Maze;4;5
2;Matt Stewart;black;52;['G', 'W'];['G', 'W'];Wolf-riders of Selesnya apprentice from a young age. Each rider raises a wolf pup from birth to serve as a mount, hoping that one day the two will share the honor of guarding the Great Concourse.;{'small': 'https://img.scryfall.com/cards/small/en/dgm/52.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/52.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/52.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/52.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/52.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/52.jpg?1517813031'};{3}{G}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armored Wolf-Rider;;common;Creature — Elf Knight;dgm;Dragon's Maze;4;6
3;Ryan Yee;black;53;['U', 'W'];['U', 'W'];A lawmage's runic script is an act of governance given form: legislation written directly onto the air itself.;{'small': 'https://img.scryfall.com/cards/small/en/dgm/53.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/53.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/53.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/53.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/53.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/53.jpg?1517813031'};{2}{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ascended Lawmage;"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)";uncommon;Creature — Vedalken Wizard;dgm;Dragon's Maze;3;2
4;Mathias Kollros;black;31;['R'];['R'];When the guilds cooperate, the guildless celebrate their peaceful society. When the guilds clash, the guildless just try to keep out of the way.;{'small': 'https://img.scryfall.com/cards/small/en/dgm/31.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/31.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/31.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/31.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/31.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/31.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Awe for the Guilds;Monocolored creatures can't block this turn.;common;Sorcery;dgm;Dragon's Maze;;
5;Raoul Vitale;black;136;['U', 'W'];[];"Its three sides represent the Sova, judges and arbitrators; the Jelenn, scribes and elocutors; and the Lyev, lawmages and enforcers.";{'small': 'https://img.scryfall.com/cards/small/en/dgm/136.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/136.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/136.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/136.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/136.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/136.jpg?1517813031'};{3};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azorius Cluestone;"{T}: Add {W} or {U}.
{W}{U}, {T}, Sacrifice Azorius Cluestone: Draw a card.";common;Artifact;dgm;Dragon's Maze;;
6;Drew Baker;black;146;['U', 'W'];[];The Azorius symbol stares down like a great eye, reminding visitors of the watchful presence of Isperia and her lawmages.;{'small': 'https://img.scryfall.com/cards/small/en/dgm/146.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/146.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/146.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/146.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/146.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/146.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azorius Guildgate;"Azorius Guildgate enters the battlefield tapped.
{T}: Add {W} or {U}.";common;Land — Gate;dgm;Dragon's Maze;;
7;Mike Bierek;black;21;['B'];['B'];"""I'm in the field of procurement, and business is good. The guilds want all kinds of maps and relics these days, though what they want them for I'm not quite sure.""";{'small': 'https://img.scryfall.com/cards/small/en/dgm/21.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/21.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/21.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/21.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/21.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/21.jpg?1517813031'};{1}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bane Alley Blackguard;;common;Creature — Human Rogue;dgm;Dragon's Maze;1;3
8;Jack Wang;black;41;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/dgm/41.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/41.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/41.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/41.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/41.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/41.jpg?1517813031'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Battering Krasis;"Trample
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)";common;Creature — Fish Beast;dgm;Dragon's Maze;2;1
9;Marco Nelor;black;54;['G', 'U'];['G', 'U'];"""When the Simic say to take command of your life, we don't mean just your career."" —Vorel of the Hull Clade";{'small': 'https://img.scryfall.com/cards/small/en/dgm/54.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dgm/54.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dgm/54.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dgm/54.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dgm/54.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dgm/54.jpg?1517813031'};{1}{G}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Beetleform Mage;{G}{U}: Beetleform Mage gets +2/+2 and gains flying until end of turn. Activate this ability only once each turn.;common;Creature — Human Insect Wizard;dgm;Dragon's Maze;2;2
