;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Randy Gallegos;black;101;['U', 'W'];['U', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/dis/101.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/101.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/101.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/101.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/101.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/101.jpg?1517813031'};{2}{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aethermage's Touch;"Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It gains ""At the beginning of your end step, return this creature to its owner's hand."" Then put the rest of the cards revealed this way on the bottom of your library in any order.";rare;Instant;dis;Dissension;;
1;Ralph Horsley;black;102;['B', 'R'];['B', 'R'];;{'small': 'https://img.scryfall.com/cards/small/en/dis/102.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/102.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/102.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/102.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/102.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/102.jpg?1517813031'};{2}{B}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anthem of Rakdos;"Whenever a creature you control attacks, it gets +2/+0 until end of turn and Anthem of Rakdos deals 1 damage to you.
Hellbent — As long as you have no cards in hand, if a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.";rare;Enchantment;dis;Dissension;;
2;Dany Orizio;black;80;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/dis/80.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/80.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/80.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/80.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/80.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/80.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aquastrand Spider;"Graft 2 (This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)
{G}: Target creature with a +1/+1 counter on it gains reach until end of turn. (It can block creatures with flying.)";common;Creature — Spider Mutant;dis;Dissension;0;0
3;Jeremy Jarvis;black;103;['G', 'U'];['G', 'U'];"""Show them to Razia and then to the Azorius sky marshals. We could create a fine bidding war—enough to fund the final stages of Project Kraj."" —Momir Vig";{'small': 'https://img.scryfall.com/cards/small/en/dis/103.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/103.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/103.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/103.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/103.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/103.jpg?1517813031'};{2}{G}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Assault Zeppelid;Flying, trample;common;Creature — Beast;dis;Dissension;3;3
4;Justin Sweet;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/dis/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/1.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aurora Eidolon;"{W}, Sacrifice Aurora Eidolon: Prevent the next 3 damage that would be dealt to any target this turn.
Whenever you cast a multicolored spell, you may return Aurora Eidolon from your graveyard to your hand.";common;Creature — Spirit;dis;Dissension;2;2
5;rk post;black;140;['B', 'R'];['B', 'R'];Such is the power of Rakdos that even his shadow takes on a cruel life of its own.;{'small': 'https://img.scryfall.com/cards/small/en/dis/140.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/140.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/140.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/140.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/140.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/140.jpg?1517813031'};{B/R}{B/R}{B/R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Avatar of Discord;"({B/R} can be paid with either {B} or {R}.)
Flying
When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.";rare;Creature — Avatar;dis;Dissension;5;3
6;Heather Hudson;black;104;['U', 'W'];['U', 'W'];In her single metasphere are bound the records of every Ætheric transaction since the time of Azor.;{'small': 'https://img.scryfall.com/cards/small/en/dis/104.jpg?1531565377', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/104.jpg?1531565377', 'large': 'https://img.scryfall.com/cards/large/en/dis/104.jpg?1531565377', 'png': 'https://img.scryfall.com/cards/png/en/dis/104.png?1531565377', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/104.jpg?1531565377', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/104.jpg?1531565377'};{1}{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azorius Aethermage;Whenever a permanent is returned to your hand, you may pay {1}. If you do, draw a card.;uncommon;Creature — Human Wizard;dis;Dissension;1;1
7;John Avon;black;170;['U', 'W'];[];;{'small': 'https://img.scryfall.com/cards/small/en/dis/170.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/170.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/170.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/170.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/170.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/170.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azorius Chancery;"Azorius Chancery enters the battlefield tapped.
When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.
{T}: Add {W}{U}.";common;Land;dis;Dissension;;
8;Alex Horley-Orlandelli;black;105;['U', 'W'];['U', 'W'];With a steady diet of lawbreakers, Azorius griffins inevitably develop a resistance to the contraband magic that taints much of their prey.;{'small': 'https://img.scryfall.com/cards/small/en/dis/105.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/105.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/105.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/105.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/105.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/105.jpg?1517813031'};{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azorius First-Wing;Flying, protection from enchantments;common;Creature — Griffin;dis;Dissension;2;2
9;Christopher Moeller;black;141;['U', 'W'];['U', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/dis/141.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dis/141.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dis/141.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dis/141.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dis/141.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dis/141.jpg?1517813031'};{W/U}{W/U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Azorius Guildmage;"{2}{W}: Tap target creature.
{2}{U}: Counter target activated ability. (Mana abilities can't be targeted.)";uncommon;Creature — Vedalken Wizard;dis;Dissension;2;2
