;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Randy Gallegos;black;82;['R'];['R'];Being an alpha means proving it every full moon.;{'small': 'https://img.scryfall.com/cards/small/en/dka/82.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/82.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/82.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/82.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/82.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/82.jpg?1517813031'};{6}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alpha Brawl;Target creature an opponent controls deals damage equal to its power to each other creature that player controls, then each of those creatures deals damage equal to its power to that creature.;rare;Sorcery;dka;Dark Ascension;;
1;Daarken;black;144;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/dka/144.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/144.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/144.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/144.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/144.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/144.jpg?1517813031'};{3};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Altar of the Lost;"Altar of the Lost enters the battlefield tapped.
{T}: Add two mana in any combination of colors. Spend this mana only to cast spells with flashback from a graveyard.";uncommon;Artifact;dka;Dark Ascension;;
2;Volkan Baga;black;1;['W'];['W'];"""This is the light of Avacyn. Even in her absence she offers us hope."" —Radulf, priest of Avacyn";{'small': 'https://img.scryfall.com/cards/small/en/dka/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/1.jpg?1517813031'};{7}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archangel's Light;You gain 2 life for each card in your graveyard, then shuffle your graveyard into your library.;mythic;Sorcery;dka;Dark Ascension;;
3;Tomasz Jedruszek;black;27;['U'];['U'];Those who know the alleys and sewers of the Erdwal can disappear like smoke.;{'small': 'https://img.scryfall.com/cards/small/en/dka/27.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/27.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/27.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/27.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/27.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/27.jpg?1517813031'};{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Artful Dodge;"Target creature can't be blocked this turn.
Flashback {U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";common;Sorcery;dka;Dark Ascension;;
4;James Paick;black;145;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/dka/145.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/145.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/145.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/145.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/145.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/145.jpg?1517813031'};{1};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Avacyn's Collar;"Equipped creature gets +1/+0 and has vigilance.
Whenever equipped creature dies, if it was a Human, create a 1/1 white Spirit creature token with flying.
Equip {2}";uncommon;Artifact — Equipment;dka;Dark Ascension;;
5;Ryan Pancoast;black;2;['W'];['W'];"""It may not look like much, but it's a good old door with strong wards. It'll hold."" —Olgard of the Skiltfolk";{'small': 'https://img.scryfall.com/cards/small/en/dka/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/2.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bar the Door;Creatures you control get +0/+4 until end of turn.;common;Instant;dka;Dark Ascension;;
6;Eric Deschamps;black;28;['U'];['U'];"""Come, let me free you of the tyranny of thought.""";{'small': 'https://img.scryfall.com/cards/small/en/dka/28.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/28.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/28.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/28.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/28.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/28.jpg?1517813031'};{3}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Beguiler of Wills;{T}: Gain control of target creature with power less than or equal to the number of creatures you control.;mythic;Creature — Human Wizard;dka;Dark Ascension;1;1
7;David Palumbo;black;54;['B'];['B'];Its last life is spent tormenting your dreams.;{'small': 'https://img.scryfall.com/cards/small/en/dka/54.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/54.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/54.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/54.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/54.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/54.jpg?1517813031'};{1}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Black Cat;When Black Cat dies, target opponent discards a card at random.;common;Creature — Zombie Cat;dka;Dark Ascension;1;1
8;Winona Nelson;black;83;['R'];['R'];Succession is a matter of blood, and by blood it is often decided.;{'small': 'https://img.scryfall.com/cards/small/en/dka/83.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/83.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/83.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/83.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/83.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/83.jpg?1517813031'};{4}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blood Feud;Target creature fights another target creature. (Each deals damage equal to its power to the other.);uncommon;Sorcery;dka;Dark Ascension;;
9;Clint Cearley;black;29;['U'];['U'];"""I can think of worse ways to go. On second thought, maybe not."" —Ludevic, necro-alchemist";{'small': 'https://img.scryfall.com/cards/small/en/dka/29.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dka/29.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dka/29.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dka/29.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dka/29.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dka/29.jpg?1517813031'};{2}{U}{U};{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Bone to Ash;"Counter target creature spell.
Draw a card.";common;Instant;dka;Dark Ascension;;
