;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Kev Walker;black;37;['B'];['B'];"""May you wake to find you were only ever a dream."" —Mephidross curse";{'small': 'https://img.scryfall.com/cards/small/en/dst/37.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/37.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/37.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/37.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/37.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/37.jpg?1517813031'};{3}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Snap;Remove all counters from all permanents and exile all tokens.;rare;Sorcery;dst;Darksteel;;
1;Greg Hildebrandt;black;91;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/dst/91.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/91.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/91.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/91.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/91.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/91.jpg?1517813031'};{1};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Vial;"At the beginning of your upkeep, you may put a charge counter on Aether Vial.
{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield.";uncommon;Artifact;dst;Darksteel;;
2;Jeff Miracola;black;73;['G'];['G'];Tel-Jilad's sworn protectors are the trolls, yet more fearsome protectors were created by the Tangle itself.;{'small': 'https://img.scryfall.com/cards/small/en/dst/73.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/73.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/73.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/73.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/73.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/73.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ageless Entity;Whenever you gain life, put that many +1/+1 counters on Ageless Entity.;rare;Creature — Elemental;dst;Darksteel;4;4
3;Alan Pollack;black;92;[];[];If taken, it cuts the hand that clutches it. If given, it heals the hand that holds it.;{'small': 'https://img.scryfall.com/cards/small/en/dst/92.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/92.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/92.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/92.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/92.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/92.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel's Feather;Whenever a player casts a white spell, you may gain 1 life.;uncommon;Artifact;dst;Darksteel;;
4;Trevor Hairsine;black;93;[];[];It breaches not physical distances but temporal ones.;{'small': 'https://img.scryfall.com/cards/small/en/dst/93.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/93.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/93.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/93.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/93.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/93.jpg?1517813031'};{4};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcane Spyglass;"{2}, {T}, Sacrifice a land: Draw a card and put a charge counter on Arcane Spyglass.
Remove three charge counters from Arcane Spyglass: Draw a card.";common;Artifact;dst;Darksteel;;
5;Christopher Moeller;black;94;[];[];Break in case of emergency.;{'small': 'https://img.scryfall.com/cards/small/en/dst/94.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/94.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/94.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/94.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/94.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/94.jpg?1517813031'};{5};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcbound Bruiser;Modular 3 (This enters the battlefield with three +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.);common;Artifact Creature — Golem;dst;Darksteel;0;0
6;Michael Sutfin;black;95;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/dst/95.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/95.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/95.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/95.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/95.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/95.jpg?1517813031'};{4};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcbound Crusher;"Trample
Whenever another artifact enters the battlefield, put a +1/+1 counter on Arcbound Crusher.
Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)";uncommon;Artifact Creature — Juggernaut;dst;Darksteel;0;0
7;Ittoku;black;96;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/dst/96.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/96.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/96.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/96.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/96.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/96.jpg?1517813031'};{6};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcbound Fiend;"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
At the beginning of your upkeep, you may move a +1/+1 counter from target creature onto Arcbound Fiend.
Modular 3 (This enters the battlefield with three +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)";uncommon;Artifact Creature — Horror;dst;Darksteel;0;0
8;Alan Pollack;black;97;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/dst/97.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/97.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/97.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/97.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/97.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/97.jpg?1517813031'};{4};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcbound Hybrid;"Haste
Modular 2 (This enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)";common;Artifact Creature — Beast;dst;Darksteel;0;0
9;John Avon;black;98;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/dst/98.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/dst/98.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/dst/98.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/dst/98.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/dst/98.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/dst/98.jpg?1517813031'};{7};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcbound Lancer;"First strike
Modular 4 (This enters the battlefield with four +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)";uncommon;Artifact Creature — Beast;dst;Darksteel;0;0
