;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Jesper Ejsing;black;65;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/eve/65.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/65.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/65.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/65.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/65.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/65.jpg?1517813031'};{4}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aerie Ouphes;"Sacrifice Aerie Ouphes: It deals damage equal to its power to target creature with flying.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)";common;Creature — Ouphe;eve;Eventide;3;3
1;Rob Alexander;black;166;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/eve/166.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/166.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/166.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/166.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/166.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/166.jpg?1517813031'};{7};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Altar Golem;"Trample
Altar Golem's power and toughness are each equal to the number of creatures on the battlefield.
Altar Golem doesn't untap during your untap step.
Tap five untapped creatures you control: Untap Altar Golem.";rare;Artifact Creature — Golem;eve;Eventide;*;*
2;Dave Kendall;black;167;[];[];Every skull has a tale to tell, and a skulkin is many dire tales cobbled together.;{'small': 'https://img.scryfall.com/cards/small/en/eve/167.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/167.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/167.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/167.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/167.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/167.jpg?1517813031'};{5};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Antler Skulkin;{2}: Target white creature gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.);common;Artifact Creature — Scarecrow;eve;Eventide;3;3
3;Jason Chan;black;1;['W'];['W'];In dark times, Truth bears a blade.;{'small': 'https://img.scryfall.com/cards/small/en/eve/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/1.jpg?1517813031'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archon of Justice;"Flying
When Archon of Justice dies, exile target permanent.";rare;Creature — Archon;eve;Eventide;4;4
4;Wayne Reynolds;black;33;['B'];['B'];The Aurora had transformed her into a relentless force of destruction.;{'small': 'https://img.scryfall.com/cards/small/en/eve/33.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/33.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/33.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/33.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/33.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/33.jpg?1517813031'};{2}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashling, the Extinguisher;Whenever Ashling, the Extinguisher deals combat damage to a player, choose target creature that player controls. The player sacrifices that creature.;rare;Legendary Creature — Elemental Shaman;eve;Eventide;4;4
5;Ralph Horsley;black;132;['R', 'W'];['R', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/eve/132.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/132.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/132.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/132.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/132.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/132.jpg?1517813031'};{2}{R/W}{R/W}{R/W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Balefire Liege;"Other red creatures you control get +1/+1.
Other white creatures you control get +1/+1.
Whenever you cast a red spell, Balefire Liege deals 3 damage to target player or planeswalker.
Whenever you cast a white spell, you gain 3 life.";rare;Creature — Spirit Horror;eve;Eventide;2;4
6;Randy Gallegos;black;2;['W'];['W'];No matter how large or small, fierce or fleeting, the kithkin have a trap for it.;{'small': 'https://img.scryfall.com/cards/small/en/eve/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/2.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ballynock Trapper;"{T}: Tap target creature.
Whenever you cast a white spell, you may untap Ballynock Trapper.";common;Creature — Kithkin Soldier;eve;Eventide;2;2
7;Howard Lyon;black;17;['U'];['U'];Suddenly he realized that everything was connected by invisible strings, strings that could be pulled—or cut.;{'small': 'https://img.scryfall.com/cards/small/en/eve/17.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/17.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/17.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/17.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/17.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/17.jpg?1517813031'};{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Banishing Knack;"Until end of turn, target creature gains ""{T}: Return target nonland permanent to its owner's hand.""";common;Instant;eve;Eventide;;
8;Franz Vohwinkel;black;133;['R', 'W'];['R', 'W'];Mimics don't need perfect disguises. They need only the perfect victims: the naive, the young, or the poor of sight.;{'small': 'https://img.scryfall.com/cards/small/en/eve/133.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/133.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/133.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/133.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/133.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/133.jpg?1517813031'};{1}{R/W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Battlegate Mimic;Whenever you cast a spell that's both red and white, Battlegate Mimic has base power and toughness 4/2 until end of turn and gains first strike until end of turn.;common;Creature — Shapeshifter;eve;Eventide;2;1
9;Richard Kane Ferguson;black;81;['B', 'W'];['B', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/eve/81.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/81.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/81.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/81.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/81.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/81.jpg?1517813031'};{1}{W/B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Batwing Brume;Prevent all combat damage that would be dealt this turn if {W} was spent to cast Batwing Brume. Each player loses 1 life for each attacking creature they control if {B} was spent to cast Batwing Brume. (Do both if {W}{B} was spent.);uncommon;Instant;eve;Eventide;;
10;Larry MacDougall;black;82;['B', 'W'];['B', 'W'];When a graveyard is full, the gwyllions rattle the tombs and unleash the spirits into the sky.;{'small': 'https://img.scryfall.com/cards/small/en/eve/82.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/82.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/82.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/82.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/82.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/82.jpg?1517813031'};{W/B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Beckon Apparition;Exile target card from a graveyard. Create a 1/1 white and black Spirit creature token with flying.;common;Instant;eve;Eventide;;
11;Steve Prescott;black;134;['R', 'W'];['R', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/eve/134.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/134.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/134.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/134.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/134.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/134.jpg?1517813031'};{3}{R/W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Belligerent Hatchling;"First strike
Belligerent Hatchling enters the battlefield with four -1/-1 counters on it.
Whenever you cast a red spell, remove a -1/-1 counter from Belligerent Hatchling.
Whenever you cast a white spell, remove a -1/-1 counter from Belligerent Hatchling.";uncommon;Creature — Elemental;eve;Eventide;6;6
12;Mike Dringenberg;black;83;['B', 'W'];['B', 'W'];"""Only a knife left for a fortnight in the hollow of a ghastbark tree can inflict a wound so grave."" —Kithkin superstition";{'small': 'https://img.scryfall.com/cards/small/en/eve/83.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/83.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/83.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/83.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/83.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/83.jpg?1517813031'};{1}{W/B}{W/B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bloodied Ghost;"Flying
Bloodied Ghost enters the battlefield with a -1/-1 counter on it.";uncommon;Creature — Spirit;eve;Eventide;3;3
13;Chippy;black;66;['G'];['G'];Beauty is a seed, waiting to blossom under her capable hands.;{'small': 'https://img.scryfall.com/cards/small/en/eve/66.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/eve/66.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/eve/66.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/eve/66.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/eve/66.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/eve/66.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bloom Tender;{T}: For each color among permanents you control, add one mana of that color.;rare;Creature — Elf Druid;eve;Eventide;1;1
