;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Dan Scott;black;159;[];[];"""No rest. No mercy. No matter what."" —Memorial inscription";{'small': 'https://img.scryfall.com/cards/small/en/fut/159.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/159.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/159.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/159.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/159.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/159.jpg?1517813031'};{7};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroma's Memorial;Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.;rare;Legendary Artifact;fut;Future Sight;;
1;D. Alexander Gregory;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/fut/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/1.jpg?1517813031'};{6}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel of Salvation;"Flash; convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying
When Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of targets, divided as you choose.";rare;Creature — Angel;fut;Future Sight;5;5
2;Carl Frank;black;48;['U'];['U'];Nobles don wings to reach the sky villas of their peers, exchanging them for more fashionable attire upon arrival.;{'small': 'https://img.scryfall.com/cards/small/en/fut/48.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/48.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/48.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/48.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/48.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/48.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcanum Wings;"Enchant creature
Enchanted creature has flying.
Aura swap {2}{U} ({2}{U}: Exchange this Aura with an Aura card in your hand.)";uncommon;Enchantment — Aura;fut;Future Sight;;
3;Shishizaru;black;94;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/fut/94.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/94.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/94.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/94.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/94.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/94.jpg?1517813031'};{3}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arc Blade;"Arc Blade deals 2 damage to any target. Exile Arc Blade with three time counters on it.
Suspend 3—{2}{R} (Rather than cast this card from your hand, you may pay {2}{R} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)";uncommon;Sorcery;fut;Future Sight;;
4;Daren Bader;black;2;['W'];['W'];"""If it would end this exile, my life is yours.""";{'small': 'https://img.scryfall.com/cards/small/en/fut/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/2.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Augur il-Vec;"Shadow (This creature can block or be blocked by only creatures with shadow.)
Sacrifice Augur il-Vec: You gain 4 life. Activate this ability only during your upkeep.";common;Creature — Human Cleric;fut;Future Sight;1;3
5;Chippy;black;63;['B'];['B'];Within each empty skull, it seeks ways to preserve its own failing undeath.;{'small': 'https://img.scryfall.com/cards/small/en/fut/63.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/63.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/63.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/63.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/63.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/63.jpg?1517813031'};{1}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Augur of Skulls;"{1}{B}: Regenerate Augur of Skulls.
Sacrifice Augur of Skulls: Target player discards two cards. Activate this ability only during your upkeep.";common;Creature — Skeleton Wizard;fut;Future Sight;1;1
6;Dan Scott;black;32;['U'];['U'];"""I have seen the future. It does not include you.""";{'small': 'https://img.scryfall.com/cards/small/en/fut/32.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/32.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/32.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/32.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/32.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/32.jpg?1517813031'};{3}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aven Augur;"Flying
Sacrifice Aven Augur: Return up to two target creatures to their owners' hands. Activate this ability only during your upkeep.";common;Creature — Bird Wizard;fut;Future Sight;2;2
7;Rebecca Guay;black;18;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/fut/18.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/18.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/18.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/18.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/18.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/18.jpg?1517813031'};{2}{W};{'standard': 'legal', 'future': 'not_legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Aven Mindcensor;"Flash
Flying
If an opponent would search a library, that player searches the top four cards of that library instead.";uncommon;Creature — Bird Wizard;fut;Future Sight;2;1
8;Dave Kendall;black;3;['W'];['W'];"""The only perfect world is an empty world, with no one to sin or wage war."" —Tarran, magus of the disk";{'small': 'https://img.scryfall.com/cards/small/en/fut/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/3.jpg?1517813031'};{4}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Barren Glory;At the beginning of your upkeep, if you control no permanents other than Barren Glory and have no cards in hand, you win the game.;rare;Enchantment;fut;Future Sight;;
9;Lucio Parrillo;black;142;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/fut/142.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/fut/142.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/fut/142.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/fut/142.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/fut/142.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/fut/142.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Baru, Fist of Krosa;"Whenever a Forest enters the battlefield, green creatures you control get +1/+1 and gain trample until end of turn.
Grandeur — Discard another card named Baru, Fist of Krosa: Create an X/X green Wurm creature token, where X is the number of lands you control.";rare;Legendary Creature — Human Druid;fut;Future Sight;4;4
