;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Rob Alexander;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/gpt/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/1.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Absolver Thrull;"Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.";common;Creature — Thrull Cleric;gpt;Guildpact;2;3
1;Jon Foster;black;43;['B'];['B'];"""I fear to keep an open mind, for there are those who would use it as a door to my soul."" —Voka Schlak, Mauzam Asylum inmate, diary";{'small': 'https://img.scryfall.com/cards/small/en/gpt/43.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/43.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/43.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/43.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/43.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/43.jpg?1517813031'};{1}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abyssal Nocturnus;Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.);rare;Creature — Horror;gpt;Guildpact;2;2
2;Nottsuo;black;22;['U'];['U'];Its fickle form holds hints of a thousand former identities.;{'small': 'https://img.scryfall.com/cards/small/en/gpt/22.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/22.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/22.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/22.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/22.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/22.jpg?1517813031'};{2}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aetherplasm;Whenever Aetherplasm blocks a creature, you may return Aetherplasm to its owner's hand. If you do, you may put a creature card from your hand onto the battlefield blocking that creature.;uncommon;Creature — Illusion;gpt;Guildpact;1;1
3;Matt Thompson;black;100;['B', 'W'];['B', 'W'];"""You say that I am two-faced? Enough with the flattery. We have business to conduct.""";{'small': 'https://img.scryfall.com/cards/small/en/gpt/100.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/100.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/100.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/100.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/100.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/100.jpg?1517813031'};{3}{W}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agent of Masks;At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.;uncommon;Creature — Human Advisor;gpt;Guildpact;2;3
4;Todd Lockwood;black;101;['B', 'W'];['B', 'W'];"""I feel in them a sense of duty and commitment, yet I can feel nothing else. It is as if their duty is to an empty void."" —Razia";{'small': 'https://img.scryfall.com/cards/small/en/gpt/101.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/101.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/101.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/101.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/101.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/101.jpg?1517813031'};{3}{W}{W}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel of Despair;"Flying
When Angel of Despair enters the battlefield, destroy target permanent.";rare;Creature — Angel;gpt;Guildpact;5;5
5;Darrell Riche;black;79;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/gpt/79.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/79.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/79.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/79.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/79.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/79.jpg?1517813031'};{6}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Battering Wurm;"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)
Creatures with power less than Battering Wurm's power can't block it.";uncommon;Creature — Wurm;gpt;Guildpact;4;3
6;Brandon Kitkouski;black;80;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/gpt/80.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/80.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/80.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/80.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/80.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/80.jpg?1517813031'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Beastmaster's Magemark;"Enchant creature
Creatures you control that are enchanted get +1/+1.
Whenever a creature you control that's enchanted becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.";common;Enchantment — Aura;gpt;Guildpact;;
7;Daren Bader;black;2;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/gpt/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/2.jpg?1517813031'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Belfry Spirit;"Flying
Haunt (When this creature dies, exile it haunting target creature.)
When Belfry Spirit enters the battlefield or the creature it haunts dies, create two 1/1 black Bat creature tokens with flying.";uncommon;Creature — Spirit;gpt;Guildpact;1;1
8;Matt Cavotta;black;3;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/gpt/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/3.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Benediction of Moons;"You gain 1 life for each player.
Haunt (When this spell card is put into a graveyard after resolving, exile it haunting target creature.)
When the creature Benediction of Moons haunts dies, you gain 1 life for each player.";common;Sorcery;gpt;Guildpact;;
9;Jon Foster;black;81;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/gpt/81.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gpt/81.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gpt/81.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gpt/81.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gpt/81.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gpt/81.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bioplasm;Whenever Bioplasm attacks, exile the top card of your library. If it's a creature card, Bioplasm gets +X/+Y until end of turn, where X is the exiled creature card's power and Y is its toughness.;rare;Creature — Ooze;gpt;Guildpact;4;4
