;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Matt Stewart;black;85;['R'];['R'];Each day uncertainty and rumors spread, and each night attendance at the Juri Revue increases.;{'small': 'https://img.scryfall.com/cards/small/en/gtc/85.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/85.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/85.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/85.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/85.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/85.jpg?1517813031'};{2}{R};{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Act of Treason;Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.);common;Sorcery;gtc;Gatecrash;;
1;Tomasz Jedruszek;black;113;['G'];['G'];"""Eh, needs more toad."" —Gulistan, Simic biomancer";{'small': 'https://img.scryfall.com/cards/small/en/gtc/113.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/113.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/113.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/113.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/113.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/113.jpg?1517813031'};{4}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adaptive Snapjaw;Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.);common;Creature — Lizard Beast;gtc;Gatecrash;6;2
2;Scott Chou;black;1;['W'];['W'];"""When you put all of yourself into an attack, without fear or hesitation, in that instant you may attain greatness."" —Predak, Gateless freemage";{'small': 'https://img.scryfall.com/cards/small/en/gtc/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/1.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aerial Maneuver;Target creature gets +1/+1 and gains flying and first strike until end of turn.;common;Instant;gtc;Gatecrash;;
3;Ryan Barger;black;29;['U'];['U'];"""You can come back once you've learned some manners—and figured out how to reconstitute your physical forms.""";{'small': 'https://img.scryfall.com/cards/small/en/gtc/29.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/29.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/29.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/29.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/29.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/29.jpg?1517813031'};{3}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aetherize;Return all attacking creatures to their owner's hand.;uncommon;Instant;gtc;Gatecrash;;
4;Jim Murray;black;30;['U'];['U'];"""Everyone in this city is choosing sides. I choose inside.""";{'small': 'https://img.scryfall.com/cards/small/en/gtc/30.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/30.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/30.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/30.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/30.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/30.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agoraphobia;"Enchant creature
Enchanted creature gets -5/-0.
{2}{U}: Return Agoraphobia to its owner's hand.";uncommon;Enchantment — Aura;gtc;Gatecrash;;
5;Dan Scott;black;141;['B', 'W'];['B', 'W'];Alms-coins are only redeemable at Orzhov businesses.;{'small': 'https://img.scryfall.com/cards/small/en/gtc/141.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/141.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/141.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/141.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/141.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/141.jpg?1517813031'};{2}{W}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alms Beast;Creatures blocking or blocked by Alms Beast have lifelink.;rare;Creature — Beast;gtc;Gatecrash;6;6
6;Dave Kendall;black;114;['G'];['G'];Even the bitterest enemies of the Burning-Tree Clan respect the strength of Borborygmos's rule.;{'small': 'https://img.scryfall.com/cards/small/en/gtc/114.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/114.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/114.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/114.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/114.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/114.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alpha Authority;"Enchant creature
Enchanted creature has hexproof and can't be blocked by more than one creature.";uncommon;Enchantment — Aura;gtc;Gatecrash;;
7;Trevor Claxton;black;2;['W'];['W'];The Boros built a prison in the sky where Azorius statutes couldn't restrict their sense of justice.;{'small': 'https://img.scryfall.com/cards/small/en/gtc/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/2.jpg?1517813031'};{4}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Edict;Exile target creature or enchantment.;common;Sorcery;gtc;Gatecrash;;
8;David Rapoza;black;3;['W'];['W'];"""A keen mind wields an army as a deft hand wields a sword.""";{'small': 'https://img.scryfall.com/cards/small/en/gtc/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/3.jpg?1517813031'};{4}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Skirmisher;"Flying
At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.";rare;Creature — Angel;gtc;Gatecrash;4;4
9;Cliff Childs;black;226;[];[];"""If only our jails were as secure."" —Arrester Lavinia, Tenth Precinct";{'small': 'https://img.scryfall.com/cards/small/en/gtc/226.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/gtc/226.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/gtc/226.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/gtc/226.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/gtc/226.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/gtc/226.jpg?1517813031'};{3};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armored Transport;Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.;common;Artifact Creature — Construct;gtc;Gatecrash;2;1
