;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Volkan Baga;black;85;['B'];['B'];Death took his humanity but not his skill with the knife.;{'small': 'https://img.scryfall.com/cards/small/en/isd/85.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/85.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/85.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/85.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/85.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/85.jpg?1517813031'};{3}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abattoir Ghoul;"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.";uncommon;Creature — Zombie;isd;Innistrad;3;2
1;Jaime Jones;black;1;['W'];['W'];"""The darkness crawls with vampires and ghouls, but we are not without allies."" —Mikaeus, the Lunarch";{'small': 'https://img.scryfall.com/cards/small/en/isd/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/1.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abbey Griffin;Flying, vigilance;common;Creature — Griffin;isd;Innistrad;2;2
2;Donato Giancola;black;86;['B'];['B'];"""The demons don't care if we mutter niceties and act out ceremonies. Just kill him."" —Bishop Volpaig, servant of Griselbrand";{'small': 'https://img.scryfall.com/cards/small/en/isd/86.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/86.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/86.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/86.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/86.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/86.jpg?1517813031'};{1}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Altar's Reap;"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards.";common;Instant;isd;Innistrad;;
3;Alan Pollack;black;169;['G'];['G'];"""Living creatures seldom impress me. But I like this one."" —Uta Falkenrath";{'small': 'https://img.scryfall.com/cards/small/en/isd/169.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/169.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/169.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/169.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/169.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/169.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ambush Viper;"Flash (You may cast this spell any time you could cast an instant.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)";common;Creature — Snake;isd;Innistrad;2;1
4;Ryan Yee;black;127;['G', 'R'];['R'];If there's anything a werewolf hates, it's a collar—especially Avacyn's Collar, the symbol of her church.;{'small': 'https://img.scryfall.com/cards/small/en/isd/127.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/127.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/127.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/127.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/127.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/127.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancient Grudge;"Destroy target artifact.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";common;Instant;isd;Innistrad;;
5;Jason Chan;black;3;['W'];['W'];From mortal hope immortal power springs.;{'small': 'https://img.scryfall.com/cards/small/en/isd/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/3.jpg?1517813031'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Overseer;"Flying
As long as you control a Human, Angelic Overseer has hexproof and indestructible.";mythic;Creature — Angel;isd;Innistrad;5;3
6;Howard Lyon;black;2;['W'];['W'];She endures without Avacyn but secretly asks each soul she guides if it has seen her.;{'small': 'https://img.scryfall.com/cards/small/en/isd/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/2.jpg?1517813031'};{4}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel of Flight Alabaster;"Flying
At the beginning of your upkeep, return target Spirit card from your graveyard to your hand.";rare;Creature — Angel;isd;Innistrad;4;4
7;Volkan Baga;black;43;['U'];['U'];Literally made for battle.;{'small': 'https://img.scryfall.com/cards/small/en/isd/43.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/43.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/43.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/43.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/43.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/43.jpg?1517813031'};{2}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armored Skaab;When Armored Skaab enters the battlefield, put the top four cards of your library into your graveyard.;common;Creature — Zombie Warrior;isd;Innistrad;1;4
8;Ryan Pancoast;black;87;['B'];['B'];Sometimes death comes knocking. Sometimes it tears down the walls.;{'small': 'https://img.scryfall.com/cards/small/en/isd/87.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/87.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/87.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/87.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/87.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/87.jpg?1517813031'};{5}{B}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Army of the Damned;"Create thirteen tapped 2/2 black Zombie creature tokens.
Flashback {7}{B}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";mythic;Sorcery;isd;Innistrad;;
9;Daarken;black;128;['R'];['R'];Its fiery paws make it easy to track, which is very useful when you want to go in exactly the opposite direction.;{'small': 'https://img.scryfall.com/cards/small/en/isd/128.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/isd/128.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/isd/128.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/isd/128.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/isd/128.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/isd/128.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashmouth Hound;Whenever Ashmouth Hound blocks or becomes blocked by a creature, Ashmouth Hound deals 1 damage to that creature.;common;Creature — Elemental Hound;isd;Innistrad;2;1
