;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Yefim Kligerman;black;1;['W'];['W'];Athreos cares little for the other gods' conflict with mortals. He is concerned only with safe passage for the dead.;{'small': 'https://img.scryfall.com/cards/small/en/jou/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/1.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aegis of the Gods;You have hexproof. (You can't be the target of spells or abilities your opponents control.);rare;Enchantment Creature — Human Soldier;jou;Journey into Nyx;2;1
1;Zack Stella;black;30;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/jou/30.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/30.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/30.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/30.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/30.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/30.jpg?1517813031'};{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aerial Formation;"Strive — This spell costs {2}{U} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn.";common;Instant;jou;Journey into Nyx;;
2;Cyril Van Der Haegen;black;59;['B'];['B'];Erebos's minions hunt the Returned and warn those who consider the same folly.;{'small': 'https://img.scryfall.com/cards/small/en/jou/59.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/59.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/59.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/59.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/59.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/59.jpg?1517813031'};{3}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agent of Erebos;Constellation — Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.;uncommon;Enchantment Creature — Zombie;jou;Journey into Nyx;2;2
3;Aaron Miller;black;145;['G', 'W'];['G', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/jou/145.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/145.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/145.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/145.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/145.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/145.jpg?1517813031'};{3}{G}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ajani, Mentor of Heroes;"+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.
+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
−8: You gain 100 life.";mythic;Legendary Planeswalker — Ajani;jou;Journey into Nyx;;
4;Raymond Swanland;black;2;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/jou/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/2.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ajani's Presence;"Strive — This spell costs {2}{W} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)";common;Instant;jou;Journey into Nyx;;
5;Marco Nelor;black;88;['R'];['R'];The enemies' shields are the first to shatter, and their battle line is never far behind.;{'small': 'https://img.scryfall.com/cards/small/en/jou/88.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/88.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/88.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/88.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/88.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/88.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Line Breaker;Heroic — Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.);uncommon;Creature — Human Warrior;jou;Journey into Nyx;2;1
6;Zoltan Boros;black;3;['W'];['W'];Even when many of the soldiers who guarded Akros were called away, its safety was never in doubt.;{'small': 'https://img.scryfall.com/cards/small/en/jou/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/3.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Mastiff;{W}, {T}: Tap target creature.;common;Creature — Hound;jou;Journey into Nyx;2;2
7;Slawomir Maniak;black;4;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/jou/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/4.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armament of Nyx;"Enchant creature
Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. (A creature with double strike deals both first-strike and regular combat damage.)";common;Enchantment — Aura;jou;Journey into Nyx;;
8;Yeong-Hao Han;black;158;[];[];From a distance the weapons look pristine, but in fact they are tarnished and dented, each as unique as the champion who carried it to battle.;{'small': 'https://img.scryfall.com/cards/small/en/jou/158.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/158.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/158.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/158.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/158.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/158.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armory of Iroas;"Whenever equipped creature attacks, put a +1/+1 counter on it.
Equip {2}";uncommon;Artifact — Equipment;jou;Journey into Nyx;;
9;Willian Murai;black;60;['B'];['B'];"""My adopted children are loved no less."" —Pharika, god of affliction";{'small': 'https://img.scryfall.com/cards/small/en/jou/60.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/jou/60.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/jou/60.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/jou/60.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/jou/60.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/jou/60.jpg?1517813031'};{2}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aspect of Gorgon;"Enchant creature
Enchanted creature gets +1/+3 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy it.)";common;Enchantment — Aura;jou;Journey into Nyx;;
