;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Jeff Miracola;black;148;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/lrw/148.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/148.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/148.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/148.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/148.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/148.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adder-Staff Boggart;When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.);common;Creature — Goblin Warrior;lrw;Lorwyn;2;1
1;Zoltan Boros & Gabor Szikszai;black;50;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/lrw/50.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/50.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/50.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/50.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/50.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/50.jpg?1517813031'};{5}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aethersnipe;"When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.
Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)";common;Creature — Elemental;lrw;Lorwyn;4;4
2;Aleksi Briclot;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/lrw/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/1.jpg?1517813031'};{2}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ajani Goldmane;"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total.""";rare;Legendary Planeswalker — Ajani;lrw;Lorwyn;;
3;Nils Hamm;black;51;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/lrw/51.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/51.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/51.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/51.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/51.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/51.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Amoeboid Changeling;"Changeling (This card is every creature type.)
{T}: Target creature gains all creature types until end of turn.
{T}: Target creature loses all creature types until end of turn.";common;Creature — Shapeshifter;lrw;Lorwyn;1;1
4;Rob Alexander;black;266;['R', 'W'];[];The arbiter Galanda Feudkiller judges Lorwyn's squabbles from a lofty perspective.;{'small': 'https://img.scryfall.com/cards/small/en/lrw/266.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/266.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/266.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/266.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/266.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/266.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancient Amphitheater;"As Ancient Amphitheater enters the battlefield, you may reveal a Giant card from your hand. If you don't, Ancient Amphitheater enters the battlefield tapped.
{T}: Add {R} or {W}.";rare;Land;lrw;Lorwyn;;
5;Jeff Easley;black;52;['U'];['U'];There is nowhere on Lorwyn that the Merrow Lanes cannot go.;{'small': 'https://img.scryfall.com/cards/small/en/lrw/52.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/52.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/52.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/52.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/52.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/52.jpg?1517813031'};{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aquitect's Will;Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card.;common;Tribal Sorcery — Merfolk;lrw;Lorwyn;;
6;Brandon Dorman;black;2;['W'];['W'];Though giants are mortal, they live so long and on such a grand scale that many small folk don't believe they ever truly die.;{'small': 'https://img.scryfall.com/cards/small/en/lrw/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/2.jpg?1517813031'};{6}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arbiter of Knollridge;"Vigilance
When Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players.";rare;Creature — Giant Wizard;lrw;Lorwyn;5;5
7;Warren Mahy;black;150;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/lrw/150.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/150.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/150.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/150.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/150.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/150.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashling's Prerogative;"As Ashling's Prerogative enters the battlefield, choose odd or even. (Zero is even.)
Each creature with converted mana cost of the chosen value has haste.
Each creature without converted mana cost of the chosen value enters the battlefield tapped.";rare;Enchantment;lrw;Lorwyn;;
8;Wayne Reynolds;black;149;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/lrw/149.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/149.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/149.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/149.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/149.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/149.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashling the Pilgrim;{1}{R}: Put a +1/+1 counter on Ashling the Pilgrim. If this is the third time this ability has resolved this turn, remove all +1/+1 counters from Ashling the Pilgrim, and it deals that much damage to each creature and each player.;rare;Legendary Creature — Elemental Shaman;lrw;Lorwyn;1;1
9;Wayne Reynolds;black;267;['B', 'R'];[];The Stinkdrinker warren's hill of salvaged trinkets is large enough to cut a door in.;{'small': 'https://img.scryfall.com/cards/small/en/lrw/267.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/267.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/267.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/267.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/267.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/267.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Auntie's Hovel;"As Auntie's Hovel enters the battlefield, you may reveal a Goblin card from your hand. If you don't, Auntie's Hovel enters the battlefield tapped.
{T}: Add {B} or {R}.";rare;Land;lrw;Lorwyn;;
10;Wayne England;black;3;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/lrw/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/3.jpg?1517813031'};{4}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Austere Command;"Choose two —
• Destroy all artifacts.
• Destroy all enchantments.
• Destroy all creatures with converted mana cost 3 or less.
• Destroy all creatures with converted mana cost 4 or greater.";rare;Sorcery;lrw;Lorwyn;;
11;Heather Hudson;black;4;['W'];['W'];Today it flies with the flock. Tomorrow it may wake to find them gone, its body in an unfamiliar form.;{'small': 'https://img.scryfall.com/cards/small/en/lrw/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/4.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Avian Changeling;"Changeling (This card is every creature type.)
Flying";common;Creature — Shapeshifter;lrw;Lorwyn;2;2
12;Warren Mahy;black;151;['R'];['R'];The angriest of giants are often the most skillful weaponsmiths. Their grudges fuel endless sessions at the forge, all the while growling ferociously to themselves.;{'small': 'https://img.scryfall.com/cards/small/en/lrw/151.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/lrw/151.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/lrw/151.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/lrw/151.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/lrw/151.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/lrw/151.jpg?1517813031'};{4}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Axegrinder Giant;;common;Creature — Giant Warrior;lrw;Lorwyn;6;4
