;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Karl Kopinski;black;161;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/m12/161.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/161.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/161.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/161.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/161.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/161.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Acidic Slime;"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.";uncommon;Creature — Ooze;m12;Magic 2012;2;2
1;Eric Deschamps;black;121;['R'];['R'];"""Rage courses in every heart, yearning to betray its rational prison."" —Sarkhan Vol";{'small': 'https://img.scryfall.com/cards/small/en/m12/121.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/121.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/121.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/121.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/121.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/121.jpg?1517813031'};{2}{R};{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Act of Treason;Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.);common;Sorcery;m12;Magic 2012;;
2;Igor Kieryluk;black;201;[];[];Such loyalty can only be made.;{'small': 'https://img.scryfall.com/cards/small/en/m12/201.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/201.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/201.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/201.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/201.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/201.jpg?1517813031'};{3};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adaptive Automaton;"As Adaptive Automaton enters the battlefield, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1.";rare;Artifact Creature — Construct;m12;Magic 2012;2;2
3;Aleksi Briclot;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/m12/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/1.jpg?1517813031'};{4}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aegis Angel;"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)";rare;Creature — Angel;m12;Magic 2012;5;5
4;Eric Deschamps;black;41;['U'];['U'];"""The universe is my instrument, and the song I play upon it is one you are forbidden to hear.""";{'small': 'https://img.scryfall.com/cards/small/en/m12/41.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/41.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/41.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/41.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/41.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/41.jpg?1517813031'};{1}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Adept;When Aether Adept enters the battlefield, return target creature to its owner's hand.;common;Creature — Human Wizard;m12;Magic 2012;2;2
5;Izzy;black;2;['W'];['W'];"""We hold sacred the powers of light and life. Truth and honor are our greatest weapons."" —Alabaster creed";{'small': 'https://img.scryfall.com/cards/small/en/m12/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/2.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alabaster Mage;{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.);uncommon;Creature — Human Wizard;m12;Magic 2012;2;1
6;Chippy;black;42;['U'];['U'];She lures victims with promises of flesh, captures them in a net of deceit, and destroys them in the embrace of the sea.;{'small': 'https://img.scryfall.com/cards/small/en/m12/42.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/42.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/42.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/42.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/42.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/42.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alluring Siren;{T}: Target creature an opponent controls attacks you this turn if able.;uncommon;Creature — Siren;m12;Magic 2012;1;1
7;Howard Lyon;black;43;['U'];['U'];"""The amphin have long built their society in secret. While surface dwellers squabbled over trivial borders, they patiently expanded, building their ammonite temple-caves. Now amphin priests eye the shore, and amphin hunters gird for war."" —Gor Muldrak, Cryptohistories";{'small': 'https://img.scryfall.com/cards/small/en/m12/43.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/43.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/43.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/43.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/43.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/43.jpg?1517813031'};{3}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Amphin Cutthroat;;common;Creature — Salamander Rogue;m12;Magic 2012;2;4
8;Jana Schirmer & Johannes Voss;black;3;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/m12/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/3.jpg?1517813031'};{2}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelic Destiny;"Enchant creature
Enchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types.
When enchanted creature dies, return Angelic Destiny to its owner's hand.";mythic;Enchantment — Aura;m12;Magic 2012;;
9;Alan Pollack;black;202;[];[];"The angel represents divine perfection; even the smallest feather is imbued with beauty and benevolence.";{'small': 'https://img.scryfall.com/cards/small/en/m12/202.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/m12/202.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/m12/202.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/m12/202.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/m12/202.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/m12/202.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel's Feather;Whenever a player casts a white spell, you may gain 1 life.;uncommon;Artifact;m12;Magic 2012;;
