;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Kekai Kotaki;black;1;['W'];['W'];"""I fight for the suns, the surface, and everything in between.""";{'small': 'https://img.scryfall.com/cards/small/en/mbs/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/1.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Accorder Paladin;Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.);uncommon;Creature — Human Knight;mbs;Mirrodin Besieged;3;1
1;Mike Bierek;black;2;['W'];['W'];"""We lost our homes and our kin. We won't let those rotters take our future as well.""";{'small': 'https://img.scryfall.com/cards/small/en/mbs/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/2.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ardent Recruit;Metalcraft — Ardent Recruit gets +2/+2 as long as you control three or more artifacts.;common;Creature — Human Soldier;mbs;Mirrodin Besieged;1;1
2;James Ryman;black;3;['W'];['W'];"""Unworthy of consecration."" —Axsh, lesser cenobite";{'small': 'https://img.scryfall.com/cards/small/en/mbs/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/3.jpg?1517813031'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Banishment Decree;Put target artifact, creature, or enchantment on top of its owner's library.;common;Instant;mbs;Mirrodin Besieged;;
3;Daniel Ljunggren;black;39;['B'];['B'];"""Under the suns, Mirrodin kneels and begs us for perfection."" —Geth, Lord of the Vault";{'small': 'https://img.scryfall.com/cards/small/en/mbs/39.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/39.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/39.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/39.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/39.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/39.jpg?1517813031'};{X}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Black Sun's Zenith;Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.;rare;Sorcery;mbs;Mirrodin Besieged;;
4;Tomasz Jedruszek;black;98;['W'];[];The Mirran partisans created hundreds of patrol sentinels to divert Phyrexian assaults from the Tangle.;{'small': 'https://img.scryfall.com/cards/small/en/mbs/98.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/98.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/98.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/98.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/98.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/98.jpg?1517813031'};{4};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bladed Sentinel;{W}: Bladed Sentinel gains vigilance until end of turn.;common;Artifact Creature — Construct;mbs;Mirrodin Besieged;2;4
5;Chris Rahn;black;99;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/mbs/99.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/99.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/99.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/99.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/99.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/99.jpg?1517813031'};{12};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blightsteel Colossus;"Trample, infect, indestructible
If Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead.";mythic;Artifact Creature — Golem;mbs;Mirrodin Besieged;11;11
6;Daniel Ljunggren;black;77;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/mbs/77.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/77.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/77.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/77.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/77.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/77.jpg?1517813031'};{3}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blightwidow;"Reach (This creature can block creatures with flying.)
Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)";common;Creature — Spider;mbs;Mirrodin Besieged;2;4
7;Svetlin Velinov;black;58;['R'];['R'];A productive warren requires a good deal of prodding.;{'small': 'https://img.scryfall.com/cards/small/en/mbs/58.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/58.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/58.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/58.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/58.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/58.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blisterstick Shaman;When Blisterstick Shaman enters the battlefield, it deals 1 damage to any target.;common;Creature — Goblin Shaman;mbs;Mirrodin Besieged;2;1
8;Izzy;black;20;['U'];['U'];"""The Origin Query will wait. We must ensure we survive to return to it."" —Pelyus, vedalken ordinar";{'small': 'https://img.scryfall.com/cards/small/en/mbs/20.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/20.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/20.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/20.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/20.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/20.jpg?1517813031'};{X}{U}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blue Sun's Zenith;Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.;rare;Instant;mbs;Mirrodin Besieged;;
9;Chippy;black;100;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/mbs/100.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mbs/100.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mbs/100.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mbs/100.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mbs/100.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mbs/100.jpg?1517813031'};{4};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bonehoard;"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.)
Equipped creature gets +X/+X, where X is the number of creature cards in all graveyards.
Equip {2}";rare;Artifact — Equipment;mbs;Mirrodin Besieged;;
