;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Steve Prescott;black;113;['G'];['G'];Treefolk and elves share a common interest in the forests, but really the elves just feel at home with the view from above.;{'small': 'https://img.scryfall.com/cards/small/en/mor/113.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/113.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/113.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/113.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/113.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/113.jpg?1517813031'};{3}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ambassador Oak;When Ambassador Oak enters the battlefield, create a 1/1 green Elf Warrior creature token.;common;Creature — Treefolk Warrior;mor;Morningtide;3;3
1;Warren Mahy;black;57;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/mor/57.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/57.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/57.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/57.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/57.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/57.jpg?1517813031'};{2}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Auntie's Snitch;"Auntie's Snitch can't block.
Prowl {1}{B} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)
Whenever a Goblin or Rogue you control deals combat damage to a player, if Auntie's Snitch is in your graveyard, you may return Auntie's Snitch to your hand.";rare;Creature — Goblin Rogue;mor;Morningtide;3;1
2;Ralph Horsley;black;1;['W'];['W'];Only wool from the side of the springjack turned most often to the sun can be woven into kithkin battle standards. Jackherds record every movement of their woolly-jacks until shearing.;{'small': 'https://img.scryfall.com/cards/small/en/mor/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/1.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ballyrush Banneret;Kithkin spells and Soldier spells you cast cost {1} less to cast.;common;Creature — Kithkin Soldier;mor;Morningtide;2;1
3;Steve Prescott;black;2;['W'];['W'];"""I do not heal. Healing means that the pain has already been felt. To stop suffering, one must prevent the world's wounds altogether.""";{'small': 'https://img.scryfall.com/cards/small/en/mor/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/2.jpg?1517813031'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Battletide Alchemist;If a source would deal damage to a player, you may prevent X of that damage, where X is the number of Clerics you control.;rare;Creature — Kithkin Cleric;mor;Morningtide;3;4
4;Rebecca Guay;black;58;['B'];['B'];In Lorwyn's brief evenings, the sun pauses at the horizon long enough for a certain species of violet to bloom with the fragrance of mischief.;{'small': 'https://img.scryfall.com/cards/small/en/mor/58.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/58.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/58.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/58.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/58.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/58.jpg?1517813031'};{1}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bitterblossom;At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.;rare;Tribal Enchantment — Faerie;mor;Morningtide;;
5;Nils Hamm;black;59;['B', 'G'];['B'];"""See the beauty in death: the clean white bones lying in the fertile soil and the brightly colored moonglove sprouting from the fell earth.""";{'small': 'https://img.scryfall.com/cards/small/en/mor/59.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/59.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/59.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/59.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/59.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/59.jpg?1517813031'};{1}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blightsoil Druid;{T}, Pay 1 life: Add {G}.;common;Creature — Elf Druid;mor;Morningtide;1;2
6;Wayne Reynolds;black;85;['R'];['R'];Even if giants bring nothing else on a journey, they bring attention.;{'small': 'https://img.scryfall.com/cards/small/en/mor/85.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/85.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/85.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/85.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/85.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/85.jpg?1517813031'};{2}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Boldwyr Heavyweights;"Trample
When Boldwyr Heavyweights enters the battlefield, each opponent may search their library for a creature card and put it onto the battlefield. Then each player who searched their library this way shuffles it.";rare;Creature — Giant Warrior;mor;Morningtide;8;8
7;Christopher Moeller;black;86;['R'];['R'];"""Now everyone knows what you are.""";{'small': 'https://img.scryfall.com/cards/small/en/mor/86.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/86.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/86.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/86.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/86.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/86.jpg?1517813031'};{5}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Boldwyr Intimidator;"Cowards can't block Warriors.
{R}: Target creature becomes a Coward until end of turn.
{2}{R}: Target creature becomes a Warrior until end of turn.";uncommon;Creature — Giant Warrior;mor;Morningtide;5;5
8;Jesper Ejsing;black;87;['R'];['R'];Giants share nothing but their fury.;{'small': 'https://img.scryfall.com/cards/small/en/mor/87.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/87.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/87.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/87.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/87.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/87.jpg?1517813031'};{5}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Borderland Behemoth;"Trample
Borderland Behemoth gets +4/+4 for each other Giant you control.";rare;Creature — Giant Warrior;mor;Morningtide;4;4
9;Ralph Horsley;black;114;['G'];['G'];Deep in a murmuring bosk, where the trees' memories span centuries, the simple banner of green and copper signifies an elder whose rings number more than a faerie's days.;{'small': 'https://img.scryfall.com/cards/small/en/mor/114.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mor/114.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mor/114.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mor/114.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mor/114.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mor/114.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bosk Banneret;Treefolk spells and Shaman spells you cast cost {1} less to cast.;common;Creature — Treefolk Shaman;mor;Morningtide;1;3
