;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Jim Nelson;black;141;['U'];[];"""Release that which was never caged."" —Spellbomb inscription";{'small': 'https://img.scryfall.com/cards/small/en/mrd/141.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/141.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/141.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/141.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/141.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/141.jpg?1517813031'};{1};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Spellbomb;"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.
{1}, Sacrifice Aether Spellbomb: Draw a card.";common;Artifact;mrd;Mirrodin;;
1;Dany Orizio;black;142;[];[];First to charge, first to fight.;{'small': 'https://img.scryfall.com/cards/small/en/mrd/142.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/142.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/142.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/142.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/142.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/142.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alpha Myr;;common;Artifact Creature — Myr;mrd;Mirrodin;2;1
2;Sam Wood;black;143;['B'];[];;{'small': 'https://img.scryfall.com/cards/small/en/mrd/143.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/143.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/143.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/143.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/143.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/143.jpg?1517813031'};{7};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Altar of Shadows;"At the beginning of your precombat main phase, add {B} for each charge counter on Altar of Shadows.
{7}, {T}: Destroy target creature. Then put a charge counter on Altar of Shadows.";rare;Artifact;mrd;Mirrodin;;
3;Daren Bader;black;1;['W'];['W'];"""The altar does nothing; the device is crushed under the weight of its own impurity."" —Ushanti, leonin seer";{'small': 'https://img.scryfall.com/cards/small/en/mrd/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/1.jpg?1517813031'};{2}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Altar's Light;Exile target artifact or enchantment.;uncommon;Instant;mrd;Mirrodin;;
4;Rob Alexander;black;278;['W'];[];Taj-Nar, throne of Raksha Golden Cub, destined leader of the leonin prides.;{'small': 'https://img.scryfall.com/cards/small/en/mrd/278.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/278.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/278.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/278.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/278.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/278.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'banned', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancient Den;"(Ancient Den isn't a spell.)
{T}: Add {W}.";common;Artifact Land;mrd;Mirrodin;;
5;Brian Snõddy;black;29;['U'];['U'];"""Murder of the living is tragic, but murder of the idea is unforgivable."" —Janus, speaker of the synod";{'small': 'https://img.scryfall.com/cards/small/en/mrd/29.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/29.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/29.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/29.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/29.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/29.jpg?1517813031'};{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Annul;Counter target artifact or enchantment spell.;common;Instant;mrd;Mirrodin;;
6;Jeff Easley;black;85;['R'];['R'];A shuffling sound and the smell of ozone follow the slogger as surely as its electric tail.;{'small': 'https://img.scryfall.com/cards/small/en/mrd/85.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/85.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/85.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/85.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/85.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/85.jpg?1517813031'};{3}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arc-Slogger;{R}, Exile the top ten cards of your library: Arc-Slogger deals 2 damage to any target.;rare;Creature — Beast;mrd;Mirrodin;4;5
7;Tim Hildebrandt;black;2;['W'];['W'];"""Unfortunately, it doesn't restrain the beast's smell."" —Glissa Sunseeker";{'small': 'https://img.scryfall.com/cards/small/en/mrd/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/2.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arrest;"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.";common;Enchantment — Aura;mrd;Mirrodin;;
8;Greg Hildebrandt;black;30;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/mrd/30.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/30.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/30.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/30.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/30.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/30.jpg?1517813031'};{5}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Assert Authority;"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.";uncommon;Instant;mrd;Mirrodin;;
9;Puddnhead;black;86;['R'];['R'];On Dominaria, a scavenger. On Mirrodin, a predator.;{'small': 'https://img.scryfall.com/cards/small/en/mrd/86.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/mrd/86.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/mrd/86.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/mrd/86.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/mrd/86.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/mrd/86.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Atog;Sacrifice an artifact: Atog gets +2/+2 until end of turn.;uncommon;Creature — Atog;mrd;Mirrodin;1;2
