;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Whit Brachna;black;78;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/nph/78.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/78.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/78.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/78.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/78.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/78.jpg?1517813031'};{3}{R/P}{R/P};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Act of Aggression;"({R/P} can be paid with either {R} or 2 life.)
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.";uncommon;Instant;nph;New Phyrexia;;
1;Matt Cavotta;black;129;[];[];With or without witnesses, the suns continued their prismatic dance.;{'small': 'https://img.scryfall.com/cards/small/en/nph/129.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/129.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/129.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/129.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/129.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/129.jpg?1517813031'};{3};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Alloy Myr;{T}: Add one mana of any color.;uncommon;Artifact Creature — Myr;nph;New Phyrexia;2;2
2;Brad Rigney;black;2;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/nph/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/2.jpg?1517813031'};{1}{W/P};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Apostle's Blessing;"({W/P} can be paid with either {W} or 2 life.)
Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.";common;Instant;nph;New Phyrexia;;
3;Jana Schirmer & Johannes Voss;black;27;['U'];['U'];"""My world is corrupted beyond cleansing. I must prevent this from happening to other worlds."" —Karn";{'small': 'https://img.scryfall.com/cards/small/en/nph/27.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/27.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/27.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/27.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/27.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/27.jpg?1517813031'};{2}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Argent Mutation;"Target permanent becomes an artifact in addition to its other types until end of turn.
Draw a card.";uncommon;Instant;nph;New Phyrexia;;
4;Austin Hsu;black;28;['U'];['U'];"""Anything we can do to hurt the Phyrexian invaders is worth dying for.""";{'small': 'https://img.scryfall.com/cards/small/en/nph/28.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/28.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/28.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/28.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/28.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/28.jpg?1517813031'};{2}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arm with Aether;"Until end of turn, creatures you control gain ""Whenever this creature deals damage to an opponent, you may return target creature that player controls to its owner's hand.""";uncommon;Sorcery;nph;New Phyrexia;;
5;Johann Bodin;black;79;['R'];['R'];Phyrexian or Mirran, most goblins stick to the job they know best.;{'small': 'https://img.scryfall.com/cards/small/en/nph/79.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/79.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/79.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/79.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/79.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/79.jpg?1517813031'};{3}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Artillerize;"As an additional cost to cast this spell, sacrifice an artifact or creature.
Artillerize deals 5 damage to any target.";common;Instant;nph;New Phyrexia;;
6;James Ryman;black;3;['W'];['W'];"""We are Mirrodin's children. We will reclaim her—one scrap at a time, if we have to.""";{'small': 'https://img.scryfall.com/cards/small/en/nph/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/3.jpg?1517813031'};{5}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Auriok Survivors;When Auriok Survivors enters the battlefield, you may return target Equipment card from your graveyard to the battlefield. If you do, you may attach it to Auriok Survivors.;uncommon;Creature — Human Soldier;nph;New Phyrexia;4;6
7;Mark Zug;black;130;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/nph/130.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/130.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/130.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/130.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/130.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/130.jpg?1517813031'};{5};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Batterskull;"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.)
Equipped creature gets +4/+4 and has vigilance and lifelink.
{3}: Return Batterskull to its owner's hand.
Equip {5}";mythic;Artifact — Equipment;nph;New Phyrexia;;
8;Dave Allsop;black;103;['G'];['G'];"""Kill the weak so they can't drag the strong down to their level. This is true compassion."" —Benzir, archdruid of Temple Might";{'small': 'https://img.scryfall.com/cards/small/en/nph/103.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/103.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/103.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/103.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/103.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/103.jpg?1517813031'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Beast Within;Destroy target permanent. Its controller creates a 3/3 green Beast creature token.;uncommon;Instant;nph;New Phyrexia;;
9;Daarken;black;104;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/nph/104.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/nph/104.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/nph/104.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/nph/104.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/nph/104.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/nph/104.jpg?1517813031'};{3}{G/P};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'banned', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Birthing Pod;"({G/P} can be paid with either {G} or 2 life.)
{1}{G/P}, {T}, Sacrifice a creature: Search your library for a creature card with converted mana cost equal to 1 plus the sacrificed creature's converted mana cost, put that card onto the battlefield, then shuffle your library. Activate this ability only any time you could cast a sorcery.";rare;Artifact;nph;New Phyrexia;;
