;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Dan Dos Santos;black;32;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/32.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/32.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/32.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/32.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/32.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/32.jpg?1517813031'};{3}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aeon Chronicler;"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.
Suspend X—{X}{3}{U}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.";rare;Creature — Avatar;plc;Planar Chaos;*;*
1;Zoltan Boros & Gabor Szikszai;black;93;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/93.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/93.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/93.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/93.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/93.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/93.jpg?1517813031'};{1}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Membrane;"Defender; reach (This creature can block creatures with flying.)
Whenever Aether Membrane blocks a creature, return that creature to its owner's hand at end of combat.";uncommon;Creature — Wall;plc;Planar Chaos;0;5
2;Daren Bader;black;94;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/94.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/94.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/94.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/94.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/94.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/94.jpg?1517813031'};{5}{R}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroma, Angel of Fury;"This spell can't be countered.
Flying, trample, protection from white and from blue
{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.
Morph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";rare;Legendary Creature — Angel;plc;Planar Chaos;6;6
3;Jim Nelson;black;124;['B', 'G', 'U'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/124.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/124.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/124.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/124.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/124.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/124.jpg?1517813031'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ana Battlemage;"Kicker {2}{U} and/or {1}{B} (You may pay an additional {2}{U} and/or {1}{B} as you cast this spell.)
When Ana Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, target player discards three cards.
When Ana Battlemage enters the battlefield, if it was kicked with its {1}{B} kicker, tap target untapped creature and that creature deals damage equal to its power to its controller.";uncommon;Creature — Human Wizard;plc;Planar Chaos;2;2
4;Brian Despain;black;33;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/33.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/33.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/33.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/33.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/33.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/33.jpg?1517813031'};{2}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aquamorph Entity;"As Aquamorph Entity enters the battlefield or is turned face up, it becomes your choice of 5/1 or 1/5.
Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";common;Creature — Shapeshifter;plc;Planar Chaos;*;*
5;Greg Staples;black;34;['U'];['U'];"""Consider not what the mask hides, but what it can reveal.""";{'small': 'https://img.scryfall.com/cards/small/en/plc/34.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/34.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/34.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/34.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/34.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/34.jpg?1517813031'};{2}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Auramancer's Guise;"Enchant creature
Enchanted creature gets +2/+2 for each Aura attached to it and has vigilance.";uncommon;Enchantment — Aura;plc;Planar Chaos;;
6;Don Hazeltine;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/1.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aven Riftwatcher;"Flying
Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.";common;Creature — Bird Rebel Soldier;plc;Planar Chaos;2;3
7;Greg Staples;black;95;['R'];['R'];Covered with hard shell-like plates, these slivers burrow through solid rock to carve out new nests for their hives.;{'small': 'https://img.scryfall.com/cards/small/en/plc/95.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/95.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/95.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/95.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/95.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/95.jpg?1517813031'};{5}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Battering Sliver;All Sliver creatures have trample.;common;Creature — Sliver;plc;Planar Chaos;4;4
8;Paolo Parente;black;2;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/2.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Benalish Commander;"Benalish Commander's power and toughness are each equal to the number of Soldiers you control.
Suspend X—{X}{W}{W}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{W}{W} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
Whenever a time counter is removed from Benalish Commander while it's exiled, create a 1/1 white Soldier creature token.";rare;Creature — Human Soldier;plc;Planar Chaos;*;*
9;Carl Critchlow;black;63;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/plc/63.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/plc/63.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/plc/63.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/plc/63.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/plc/63.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/plc/63.jpg?1517813031'};{1}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Big Game Hunter;"When Big Game Hunter enters the battlefield, destroy target creature with power 4 or greater. It can't be regenerated.
Madness {B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)";uncommon;Creature — Human Rebel Assassin;plc;Planar Chaos;1;1
