;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Donato Giancola;black;190;['R', 'W'];['R', 'W'];Lieutenant Kos has never met a group of recruits he could not inspire or a mob he could not quell.;{'small': 'https://img.scryfall.com/cards/small/en/rav/190.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/190.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/190.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/190.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/190.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/190.jpg?1517813031'};{3}{R}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agrus Kos, Wojek Veteran;Whenever Agrus Kos, Wojek Veteran attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.;rare;Legendary Creature — Human Soldier;rav;Ravnica: City of Guilds;3;3
1;Jeff Miracola;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/rav/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/1.jpg?1517813031'};{5}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Auratouched Mage;When Auratouched Mage enters the battlefield, search your library for an Aura card that could enchant it. If Auratouched Mage is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle your library.;uncommon;Creature — Human Wizard;rav;Ravnica: City of Guilds;3;3
2;Michael Phillippi;black;191;['G', 'W'];['G', 'W'];The trainer awoke to begin the journey from the wurm's tail to its head. The sun was setting when she arrived.;{'small': 'https://img.scryfall.com/cards/small/en/rav/191.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/191.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/191.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/191.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/191.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/191.jpg?1517813031'};{10}{G}{G}{G}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Autochthon Wurm;"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Trample";rare;Creature — Wurm;rav;Ravnica: City of Guilds;9;14
3;Carl Critchlow;black;114;['R'];['R'];"""Riftcutters are suicidal anarchists, waving those lightning axes around so much that the walls are as likely to fall as their foes."" —Heruj, Selesnya initiate";{'small': 'https://img.scryfall.com/cards/small/en/rav/114.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/114.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/114.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/114.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/114.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/114.jpg?1517813031'};{4}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Barbarian Riftcutter;{R}, Sacrifice Barbarian Riftcutter: Destroy target land.;common;Creature — Human Barbarian;rav;Ravnica: City of Guilds;3;3
4;Alex Horley-Orlandelli;black;2;['W'];['W'];"""Truth shines even in darkness. Those who march on the side of truth walk always in righteous light.""";{'small': 'https://img.scryfall.com/cards/small/en/rav/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/2.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bathe in Light;Radiance — Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.;uncommon;Instant;rav;Ravnica: City of Guilds;;
5;Jim Nelson;black;38;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/rav/38.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/38.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/38.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/38.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/38.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/38.jpg?1517813031'};{4}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Belltower Sphinx;"Flying
Whenever a source deals damage to Belltower Sphinx, that source's controller puts that many cards from the top of their library into their graveyard.";uncommon;Creature — Sphinx;rav;Ravnica: City of Guilds;2;5
6;Nick Percival;black;3;['W'];['W'];Although the door is flimsy and the lock pathetically small, Josuri's family never fears the night outside.;{'small': 'https://img.scryfall.com/cards/small/en/rav/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/3.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Benevolent Ancestor;"Defender (This creature can't attack.)
{T}: Prevent the next 1 damage that would be dealt to any target this turn.";common;Creature — Spirit;rav;Ravnica: City of Guilds;0;4
7;Marcelo Vignali;black;153;['G'];['G'];Long ago, birds of paradise littered the skies. Thanks to the city's sprawl, most now exist as pets of society's elite.;{'small': 'https://img.scryfall.com/cards/small/en/rav/153.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/153.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/153.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/153.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/153.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/153.jpg?1517813031'};{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Birds of Paradise;"Flying
{T}: Add one mana of any color.";rare;Creature — Bird;rav;Ravnica: City of Guilds;0;1
8;Zoltan Boros & Gabor Szikszai;black;4;['W'];['W'];"""Through the haze of battle I saw the glint of sun on golden mane, the sheen of glory clad in mail, and I dropped my sword and wept at the idiocy of war."" —Dravin, Gruul deserter";{'small': 'https://img.scryfall.com/cards/small/en/rav/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/4.jpg?1517813031'};{6}{W}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blazing Archon;"Flying
Creatures can't attack you.";rare;Creature — Archon;rav;Ravnica: City of Guilds;5;6
9;Dave Dorman;black;115;['R'];['R'];Vendors hung cords heavy with roots and laid out boxes of salted meat, unaware of the fiery disaster swiftly approaching.;{'small': 'https://img.scryfall.com/cards/small/en/rav/115.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/rav/115.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/rav/115.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/rav/115.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/rav/115.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/rav/115.jpg?1517813031'};{3}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Blockbuster;{1}{R}, Sacrifice Blockbuster: It deals 3 damage to each tapped creature and each player.;uncommon;Enchantment;rav;Ravnica: City of Guilds;;
