;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Ryan Pancoast;black;14;['W'];['W'];Once a welcoming hub for explorers, Affa became a place of guarded tongues and quick defenses.;{'small': 'https://img.scryfall.com/cards/small/en/roe/14.jpg?1530591980', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/14.jpg?1530591980', 'large': 'https://img.scryfall.com/cards/large/en/roe/14.jpg?1530591980', 'png': 'https://img.scryfall.com/cards/png/en/roe/14.png?1530591980', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/14.jpg?1530591980', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/14.jpg?1530591980'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Affa Guard Hound;"Flash (You may cast this spell any time you could cast an instant.)
When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.";uncommon;Creature — Hound;roe;Rise of the Eldrazi;2;2
1;Alex Horley-Orlandelli;black;134;['R'];['R'];"""If you're in Akoum and you glimpse a shadow overhead, the worst thing you can do is duck."" —Chadir the Navigator";{'small': 'https://img.scryfall.com/cards/small/en/roe/134.jpg?1530592505', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/134.jpg?1530592505', 'large': 'https://img.scryfall.com/cards/large/en/roe/134.jpg?1530592505', 'png': 'https://img.scryfall.com/cards/png/en/roe/134.png?1530592505', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/134.jpg?1530592505', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/134.jpg?1530592505'};{4}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akoum Boulderfoot;When Akoum Boulderfoot enters the battlefield, it deals 1 damage to any target.;uncommon;Creature — Giant Warrior;roe;Rise of the Eldrazi;4;5
2;Jason Felix;black;1;[];[];"""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets."" —Javad Nasrin, Ondu relic hunter";{'small': 'https://img.scryfall.com/cards/small/en/roe/1.jpg?1530591908', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/1.jpg?1530591908', 'large': 'https://img.scryfall.com/cards/large/en/roe/1.jpg?1530591908', 'png': 'https://img.scryfall.com/cards/png/en/roe/1.png?1530591908', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/1.jpg?1530591908', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/1.jpg?1530591908'};{7};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};All Is Dust;Each player sacrifices all colored permanents they control.;mythic;Tribal Sorcery — Eldrazi;roe;Rise of the Eldrazi;;
3;Vincent Proce;black;174;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/roe/174.jpg?1530592652', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/174.jpg?1530592652', 'large': 'https://img.scryfall.com/cards/large/en/roe/174.jpg?1530592652', 'png': 'https://img.scryfall.com/cards/png/en/roe/174.png?1530592652', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/174.jpg?1530592652', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/174.jpg?1530592652'};{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancient Stirrings;Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order. (Cards with no colored mana in their mana costs are colorless. Lands are also colorless.);common;Sorcery;roe;Rise of the Eldrazi;;
4;Chippy;black;215;[];[];"It holds a whisper from Iona: ""Persevere.""";{'small': 'https://img.scryfall.com/cards/small/en/roe/215.jpg?1530592795', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/215.jpg?1530592795', 'large': 'https://img.scryfall.com/cards/large/en/roe/215.jpg?1530592795', 'png': 'https://img.scryfall.com/cards/png/en/roe/215.png?1530592795', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/215.jpg?1530592795', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/215.jpg?1530592795'};{5};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angelheart Vial;"Whenever you're dealt damage, you may put that many charge counters on Angelheart Vial.
{2}, {T}, Remove four charge counters from Angelheart Vial: You gain 2 life and draw a card.";rare;Artifact;roe;Rise of the Eldrazi;;
5;Mike Bierek;black;94;['B'];['B'];"""I would rather take my own head than be thwarted by a presumptuous wretch with a shield and a dream.""";{'small': 'https://img.scryfall.com/cards/small/en/roe/94.jpg?1530592364', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/94.jpg?1530592364', 'large': 'https://img.scryfall.com/cards/large/en/roe/94.jpg?1530592364', 'png': 'https://img.scryfall.com/cards/png/en/roe/94.png?1530592364', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/94.jpg?1530592364', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/94.jpg?1530592364'};{1}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arrogant Bloodlord;Whenever Arrogant Bloodlord blocks or becomes blocked by a creature with power 1 or less, destroy Arrogant Bloodlord at end of combat.;uncommon;Creature — Vampire Knight;roe;Rise of the Eldrazi;4;4
6;Jason Felix;black;2;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/roe/2.jpg?1530591914', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/2.jpg?1530591914', 'large': 'https://img.scryfall.com/cards/large/en/roe/2.jpg?1530591914', 'png': 'https://img.scryfall.com/cards/png/en/roe/2.png?1530591914', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/2.jpg?1530591914', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/2.jpg?1530591914'};{9};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Artisan of Kozilek;"When you cast this spell, you may return target creature card from your graveyard to the battlefield.
Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)";uncommon;Creature — Eldrazi;roe;Rise of the Eldrazi;10;9
7;Howard Lyon;black;54;['U'];['U'];"""Although armor and auras can be similar, the brains required to use them are worlds apart."" —Zilan, Makindi auramancer";{'small': 'https://img.scryfall.com/cards/small/en/roe/54.jpg?1530592207', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/54.jpg?1530592207', 'large': 'https://img.scryfall.com/cards/large/en/roe/54.jpg?1530592207', 'png': 'https://img.scryfall.com/cards/png/en/roe/54.png?1530592207', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/54.jpg?1530592207', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/54.jpg?1530592207'};{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aura Finesse;"Attach target Aura you control to target creature.
Draw a card.";common;Instant;roe;Rise of the Eldrazi;;
8;Lars Grant-West;black;175;['G'];['G'];Kill a gnarlid with your first blow, or it'll cheerfully show you how it's done.;{'small': 'https://img.scryfall.com/cards/small/en/roe/175.jpg?1530592655', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/175.jpg?1530592655', 'large': 'https://img.scryfall.com/cards/large/en/roe/175.jpg?1530592655', 'png': 'https://img.scryfall.com/cards/png/en/roe/175.png?1530592655', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/175.jpg?1530592655', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/175.jpg?1530592655'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aura Gnarlid;"Creatures with power less than Aura Gnarlid's power can't block it.
Aura Gnarlid gets +1/+1 for each Aura on the battlefield.";common;Creature — Beast;roe;Rise of the Eldrazi;2;2
9;Johann Bodin;black;176;['G'];['G'];The ground erupted in time with the hedron's thrum, a dirge of the last days.;{'small': 'https://img.scryfall.com/cards/small/en/roe/176.jpg?1530592658', 'normal': 'https://img.scryfall.com/cards/normal/en/roe/176.jpg?1530592658', 'large': 'https://img.scryfall.com/cards/large/en/roe/176.jpg?1530592658', 'png': 'https://img.scryfall.com/cards/png/en/roe/176.png?1530592658', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/roe/176.jpg?1530592658', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/roe/176.jpg?1530592658'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Awakening Zone;"At the beginning of your upkeep, you may create a 0/1 colorless Eldrazi Spawn creature token. It has ""Sacrifice this creature: Add {C}.""";rare;Enchantment;roe;Rise of the Eldrazi;;
