;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Chippy;black;28;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/shm/28.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/28.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/28.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/28.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/28.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/28.jpg?1517813031'};{2/U}{2/U}{2/U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Advice from the Fae;"({2/U} can be paid with any two mana or with {U}. This card's converted mana cost is 6.)
Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order.";uncommon;Sorcery;shm;Shadowmoor;;
1;Warren Mahy;black;136;['U', 'W'];['U', 'W'];;{'small': 'https://img.scryfall.com/cards/small/en/shm/136.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/136.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/136.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/136.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/136.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/136.jpg?1517813031'};{3}{W/U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aethertow;"Put target attacking or blocking creature on top of its owner's library.
Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)";common;Instant;shm;Shadowmoor;;
2;Jim Nelson;black;55;['B'];['B'];Merrows skulk the silty bogs around the Wanderbrine, their very thoughts stained with evil.;{'small': 'https://img.scryfall.com/cards/small/en/shm/55.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/55.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/55.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/55.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/55.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/55.jpg?1517813031'};{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aphotic Wisps;"Target creature becomes black and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)
Draw a card.";common;Instant;shm;Shadowmoor;;
3;Kev Walker;black;1;['W'];['W'];Kithkin jealously hoard their knowledge of poultices and remedies so that no outside threat can benefit from their wisdom.;{'small': 'https://img.scryfall.com/cards/small/en/shm/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/1.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Apothecary Initiate;Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.;common;Creature — Kithkin Cleric;shm;Shadowmoor;1;1
4;Matt Cavotta;black;2;['W'];['W'];"""Why enchant feathers to make them sturdy when we can enchant shields to make them fly?"" —Braenna, cobblesmith";{'small': 'https://img.scryfall.com/cards/small/en/shm/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/2.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armored Ascension;"Enchant creature
Enchanted creature gets +1/+1 for each Plains you control and has flying.";uncommon;Enchantment — Aura;shm;Shadowmoor;;
5;Lucio Parrillo;black;56;['B'];['B'];"""None will concede a place for us in this world. If it is not for us, neither shall it be for them. We rest not until they choke in its cold ashes."" —Illulia of Nighthearth";{'small': 'https://img.scryfall.com/cards/small/en/shm/56.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/56.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/56.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/56.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/56.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/56.jpg?1517813031'};{5}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashenmoor Cohort;Ashenmoor Cohort gets +1/+1 as long as you control another black creature.;common;Creature — Elemental Warrior;shm;Shadowmoor;4;3
6;Matt Cavotta;black;180;['B', 'R'];['B', 'R'];After his hands had crumbled away, leaving only wickedly sharp points, he decided his only purpose was war.;{'small': 'https://img.scryfall.com/cards/small/en/shm/180.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/180.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/180.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/180.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/180.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/180.jpg?1517813031'};{B/R}{B/R}{B/R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashenmoor Gouger;Ashenmoor Gouger can't block.;uncommon;Creature — Elemental Warrior;shm;Shadowmoor;4;4
7;Mark Zug;black;181;['B', 'R'];['B', 'R'];Cinders carry an ancestral grudge that makes them slow to trust and quick to retaliate.;{'small': 'https://img.scryfall.com/cards/small/en/shm/181.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/181.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/181.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/181.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/181.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/181.jpg?1517813031'};{1}{B/R}{B/R}{B/R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashenmoor Liege;"Other black creatures you control get +1/+1.
Other red creatures you control get +1/+1.
Whenever Ashenmoor Liege becomes the target of a spell or ability an opponent controls, that player loses 4 life.";rare;Creature — Elemental Knight;shm;Shadowmoor;4;1
8;Steve Prescott;black;137;['U', 'W'];['U', 'W'];Moonstones grant limited foresight but unlimited advantages.;{'small': 'https://img.scryfall.com/cards/small/en/shm/137.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/137.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/137.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/137.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/137.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/137.jpg?1517813031'};{1}{W/U}{W/U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Augury Adept;Whenever Augury Adept deals combat damage to a player, reveal the top card of your library and put that card into your hand. You gain life equal to its converted mana cost.;rare;Creature — Kithkin Wizard;shm;Shadowmoor;2;2
9;Jesper Ejsing;black;3;['W'];['W'];A kithkin's worst enemy is solitude.;{'small': 'https://img.scryfall.com/cards/small/en/shm/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/shm/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/shm/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/shm/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/shm/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/shm/3.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ballynock Cohort;"First strike
Ballynock Cohort gets +1/+1 as long as you control another white creature.";common;Creature — Kithkin Soldier;shm;Shadowmoor;2;2
