;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Paolo Parente;black;91;['R'];['R'];"""Beware Adamaro! In him all pain and anger is perfected."" —Isao, Enlightened Bushi";{'small': 'https://img.scryfall.com/cards/small/en/sok/91.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/91.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/91.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/91.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/91.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/91.jpg?1517813031'};{1}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adamaro, First to Desire;Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.;rare;Legendary Creature — Spirit;sok;Saviors of Kamigawa;*;*
1;Stephen Tappin;black;1;['W'];['W'];"""The strain upon the veil between worlds began to show near the end of the Kami War. Strange happenings that neither side could control lashed out across Kamigawa."" —Observations of the Kami War";{'small': 'https://img.scryfall.com/cards/small/en/sok/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/1.jpg?1517813031'};{3}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Shockwave;"Choose one —
• Tap all Spirits.
• Tap all non-Spirit creatures.";uncommon;Instant;sok;Saviors of Kamigawa;;
2;Alan Pollack;black;92;['R'];['R'];"""What part of 'hayaku ikee!' did you not understand?""";{'small': 'https://img.scryfall.com/cards/small/en/sok/92.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/92.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/92.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/92.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/92.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/92.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Drillmaster;{T}: Target creature gains haste until end of turn.;common;Creature — Goblin Shaman;sok;Saviors of Kamigawa;2;2
3;Franz Vohwinkel;black;93;['R'];['R'];"""I lost my hounds in the war and thus found myself employing akki as servants. I found their training to be remarkably similar."" —Kensuke, houndmaster";{'small': 'https://img.scryfall.com/cards/small/en/sok/93.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/93.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/93.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/93.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/93.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/93.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akki Underling;As long as you have seven or more cards in hand, Akki Underling gets +2/+1 and has first strike.;common;Creature — Goblin Warrior;sok;Saviors of Kamigawa;2;1
4;Ben Thompson;black;61;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/sok/61.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/61.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/61.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/61.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/61.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/61.jpg?1517813031'};{2}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akuta, Born of Ash;"Haste
At the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp. If you do, return Akuta, Born of Ash from your graveyard to the battlefield.";rare;Legendary Creature — Spirit;sok;Saviors of Kamigawa;3;2
5;Anthony S. Waters;black;2;['W'];['W'];"""My finest creations are fashioned after the moths of Eiganjo. They fly higher, faster, and more gracefully than any of my own designs."" —Noboru, master kitemaker";{'small': 'https://img.scryfall.com/cards/small/en/sok/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/2.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Araba Mothrider;"Flying
Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)";common;Creature — Human Samurai;sok;Saviors of Kamigawa;1;1
6;Kev Walker;black;121;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/sok/121.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/121.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/121.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/121.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/121.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/121.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arashi, the Sky Asunder;"{X}{G}, {T}: Arashi, the Sky Asunder deals X damage to target creature with flying.
Channel — {X}{G}{G}, Discard Arashi: Arashi deals X damage to each creature with flying.";rare;Legendary Creature — Spirit;sok;Saviors of Kamigawa;5;5
7;Dan Frazier;black;152;[];[];The ashes of the dead mingle with the soil, and both become as one.;{'small': 'https://img.scryfall.com/cards/small/en/sok/152.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/152.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/152.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/152.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/152.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/152.jpg?1517813031'};{2};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashes of the Fallen;"As Ashes of the Fallen enters the battlefield, choose a creature type.
Each creature card in your graveyard has the chosen creature type in addition to its other types.";rare;Artifact;sok;Saviors of Kamigawa;;
8;rk post;black;122;['G'];['G'];Before Shinka's walls were built, before the torii at Okina stood, she was there, tall and proud against the sky, and she will be there long after they have fallen into dust.;{'small': 'https://img.scryfall.com/cards/small/en/sok/122.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/122.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/122.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/122.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/122.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/122.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ayumi, the Last Visitor;Legendary landwalk (This creature can't be blocked as long as defending player controls a legendary land.);rare;Legendary Creature — Spirit;sok;Saviors of Kamigawa;7;3
9;Greg Staples;black;94;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/sok/94.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/sok/94.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/sok/94.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/sok/94.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/sok/94.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/sok/94.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Barrel Down Sokenzan;Sweep — Return any number of Mountains you control to their owner's hand. Barrel Down Sokenzan deals damage to target creature equal to twice the number of Mountains returned this way.;common;Instant — Arcane;sok;Saviors of Kamigawa;;
