;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Slawomir Maniak;black;75;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/ths/75.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/75.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/75.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/75.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/75.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/75.jpg?1517813031'};{5}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abhorrent Overlord;"Flying
When Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature.";rare;Creature — Demon;ths;Theros;6;6
1;Clint Cearley;black;148;['G', 'U'];['G'];The light in the woods just before dawn reveals a glimmering network of branches, roots, and spiderwebs. The acolytes of Kruphix walk this lattice unseen.;{'small': 'https://img.scryfall.com/cards/small/en/ths/148.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/148.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/148.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/148.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/148.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/148.jpg?1517813031'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agent of Horizons;{2}{U}: Agent of Horizons can't be blocked this turn.;common;Creature — Human Rogue;ths;Theros;3;2
2;Matt Stewart;black;76;['B'];['B'];"""You are breathing borrowed air.""";{'small': 'https://img.scryfall.com/cards/small/en/ths/76.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/76.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/76.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/76.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/76.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/76.jpg?1517813031'};{1}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agent of the Fates;"Deathtouch
Heroic — Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.";rare;Creature — Human Assassin;ths;Theros;3;2
3;Johann Bodin;black;111;['R'];['R'];An Akroan soldier's worth is measured by the number of swords raised by his battle cry.;{'small': 'https://img.scryfall.com/cards/small/en/ths/111.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/111.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/111.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/111.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/111.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/111.jpg?1517813031'};{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Crusader;Heroic — Whenever you cast a spell that targets Akroan Crusader, create a 1/1 red Soldier creature token with haste.;common;Creature — Human Soldier;ths;Theros;1;1
4;Igor Kieryluk;black;185;['R', 'W'];['R', 'W'];"""Fair fight? How could it be a fair fight? We're Akroans. They're not.""";{'small': 'https://img.scryfall.com/cards/small/en/ths/185.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/185.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/185.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/185.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/185.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/185.jpg?1517813031'};{R}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Hoplite;Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.;uncommon;Creature — Human Soldier;ths;Theros;1;2
5;Seb McKinnon;black;210;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/ths/210.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/210.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/210.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/210.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/210.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/210.jpg?1517813031'};{4};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akroan Horse;"Defender
When Akroan Horse enters the battlefield, an opponent gains control of it.
At the beginning of your upkeep, each opponent creates a 1/1 white Soldier creature token.";rare;Artifact Creature — Horse;ths;Theros;0;4
6;Willian Murai;black;186;['R', 'W'];['R', 'W'];Akros's greatest heroes are also its royalty.;{'small': 'https://img.scryfall.com/cards/small/en/ths/186.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/186.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/186.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/186.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/186.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/186.jpg?1517813031'};{1}{R}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anax and Cymede;"First strike, vigilance
Heroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.";rare;Legendary Creature — Human Soldier;ths;Theros;3;2
7;Noah Bradley;black;112;['R'];['R'];There was no reason to pray. This was already an act of the gods.;{'small': 'https://img.scryfall.com/cards/small/en/ths/112.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/112.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/112.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/112.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/112.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/112.jpg?1517813031'};{1}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anger of the Gods;Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.;rare;Sorcery;ths;Theros;;
8;Christine Choi;black;38;['U'];['U'];"""Why pray to the gods, who feed on your worship? Dissolve your illusions and see the true nature of things."" —Xenagos, the Reveler";{'small': 'https://img.scryfall.com/cards/small/en/ths/38.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/38.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/38.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/38.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/38.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/38.jpg?1517813031'};{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Annul;Counter target artifact or enchantment spell.;common;Instant;ths;Theros;;
9;Howard Lyon;black;149;['G'];['G'];The warriors she leads can rarely keep pace with her, and neither can the tales.;{'small': 'https://img.scryfall.com/cards/small/en/ths/149.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/ths/149.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/ths/149.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/ths/149.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/ths/149.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/ths/149.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anthousa, Setessan Hero;Heroic — Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.;rare;Legendary Creature — Human Warrior;ths;Theros;4;5
