;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Zoltan Boros & Gabor Szikszai;black;269;['U'];[];Its secrets once wrought the greatest artifice ever known. Now crabs loot the rubble to decorate their shells.;{'small': 'https://img.scryfall.com/cards/small/en/tsp/269.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/269.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/269.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/269.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/269.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/269.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Academy Ruins;"{T}: Add {C}.
{1}{U}, {T}: Put target artifact card from your graveyard on top of your library.";rare;Legendary Land;tsp;Time Spiral;;
1;Justin Sweet;black;142;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/tsp/142.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/142.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/142.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/142.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/142.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/142.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aetherflame Wall;"Defender
Aetherflame Wall can block creatures with shadow as though they didn't have shadow.
{R}: Aetherflame Wall gets +1/+0 until end of turn.";common;Creature — Wall;tsp;Time Spiral;0;4
2;Justin Sweet;black;189;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/tsp/189.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/189.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/189.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/189.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/189.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/189.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Web;"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow. (Creatures with reach can block creatures with flying.)";common;Enchantment — Aura;tsp;Time Spiral;;
3;Quinton Hoover;black;1;['W'];['W'];"The people of Amrou were scattered by war and driven into hiding. Scouts maintain the beacon fires that signal ""return"" and ""home.""";{'small': 'https://img.scryfall.com/cards/small/en/tsp/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/1.jpg?1517813031'};{1}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Amrou Scout;{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.;common;Creature — Kithkin Rebel Scout;tsp;Time Spiral;2;1
4;Quinton Hoover;black;2;['W'];['W'];The paradise of Amrou Haven had become a field of cinders. Its people struggled to survive, hoping to see visions of its past in the strange storms that quickly passed.;{'small': 'https://img.scryfall.com/cards/small/en/tsp/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/2.jpg?1517813031'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Amrou Seekers;Amrou Seekers can't be blocked except by artifact creatures and/or white creatures.;common;Creature — Kithkin Rebel;tsp;Time Spiral;2;2
5;Mark Poole;black;48;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/tsp/48.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/48.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/48.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/48.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/48.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/48.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancestral Vision;"Suspend 4—{U} (Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Target player draws three cards.";rare;Sorcery;tsp;Time Spiral;;
6;Jim Nelson;black;143;['G', 'R'];['R'];The time rifts remind Yavimaya of the enemies of its past and provide fresh fuel for its fires.;{'small': 'https://img.scryfall.com/cards/small/en/tsp/143.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/143.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/143.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/143.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/143.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/143.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ancient Grudge;"Destroy target artifact.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)";common;Instant;tsp;Time Spiral;;
7;Mark Zug;black;3;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/tsp/3.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/3.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/3.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/3.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/3.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/3.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Angel's Grace;"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
You can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.";rare;Instant;tsp;Time Spiral;;
8;Carl Critchlow;black;190;['G'];['G'];The bears wade into time rifts to feed. They do not fear the storms, and they are quick enough to snatch prey just as it blinks in or out of time.;{'small': 'https://img.scryfall.com/cards/small/en/tsp/190.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/190.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/190.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/190.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/190.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/190.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Ashcoat Bear;Flash (You may cast this spell any time you could cast an instant.);common;Creature — Bear;tsp;Time Spiral;2;2
9;Dave Dorman;black;191;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/tsp/191.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/tsp/191.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/tsp/191.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/tsp/191.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/tsp/191.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/tsp/191.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aspect of Mongoose;"Enchant creature
Enchanted creature has shroud. (It can't be the target of spells or abilities.)
When Aspect of Mongoose is put into a graveyard from the battlefield, return Aspect of Mongoose to its owner's hand.";uncommon;Enchantment — Aura;tsp;Time Spiral;;
