;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Chippy;black;47;['B'];['B'];His slaves crave death more than they desire freedom. He denies them both.;{'small': 'https://img.scryfall.com/cards/small/en/wwk/47.jpg?1530592336', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/47.jpg?1530592336', 'large': 'https://img.scryfall.com/cards/large/en/wwk/47.jpg?1530592336', 'png': 'https://img.scryfall.com/cards/png/en/wwk/47.png?1530592336', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/47.jpg?1530592336', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/47.jpg?1530592336'};{2}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Abyssal Persecutor;"Flying, trample
You can't win the game and your opponents can't lose the game.";mythic;Creature — Demon;wwk;Worldwake;6;6
1;Steve Argyle;black;1;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/wwk/1.jpg?1530592127', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/1.jpg?1530592127', 'large': 'https://img.scryfall.com/cards/large/en/wwk/1.jpg?1530592127', 'png': 'https://img.scryfall.com/cards/png/en/wwk/1.png?1530592127', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/1.jpg?1530592127', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/1.jpg?1530592127'};{3}{W}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Admonition Angel;"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.";mythic;Creature — Angel;wwk;Worldwake;6;6
2;Kieran Yanner;black;24;['U'];['U'];"""The wind smells of misfortune. Check your knots.""
—Anitan, Ondu cleric";{'small': 'https://img.scryfall.com/cards/small/en/wwk/24.jpg?1532721684', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/24.jpg?1532721684', 'large': 'https://img.scryfall.com/cards/large/en/wwk/24.jpg?1532721684', 'png': 'https://img.scryfall.com/cards/png/en/wwk/24.png?1532721684', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/24.jpg?1532721684', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/24.jpg?1532721684'};{2}{U};{'standard': 'legal', 'future': 'not_legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'};Aether Tradewinds;Return target permanent you control and target permanent you don't control to their owners' hands.;common;Instant;wwk;Worldwake;;
3;Vance Kovacs;black;48;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/wwk/48.jpg?1530592340', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/48.jpg?1530592340', 'large': 'https://img.scryfall.com/cards/large/en/wwk/48.jpg?1530592340', 'png': 'https://img.scryfall.com/cards/png/en/wwk/48.png?1530592340', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/48.jpg?1530592340', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/48.jpg?1530592340'};{2}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Agadeem Occultist;{T}: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.;rare;Creature — Human Shaman Ally;wwk;Worldwake;0;2
4;Adi Granov;black;71;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/wwk/71.jpg?1530592440', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/71.jpg?1530592440', 'large': 'https://img.scryfall.com/cards/large/en/wwk/71.jpg?1530592440', 'png': 'https://img.scryfall.com/cards/png/en/wwk/71.png?1530592440', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/71.jpg?1530592440', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/71.jpg?1530592440'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akoum Battlesinger;"Haste
Whenever Akoum Battlesinger or another Ally enters the battlefield under your control, you may have Ally creatures you control get +1/+0 until end of turn.";common;Creature — Human Berserker Ally;wwk;Worldwake;1;1
5;Warren Mahy;black;121;[];[];"""After years of study, I've learned an important lesson: the relics we watch may be watching us back."" —Anowon, the Ruin Sage";{'small': 'https://img.scryfall.com/cards/small/en/wwk/121.jpg?1530592713', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/121.jpg?1530592713', 'large': 'https://img.scryfall.com/cards/large/en/wwk/121.jpg?1530592713', 'png': 'https://img.scryfall.com/cards/png/en/wwk/121.png?1530592713', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/121.jpg?1530592713', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/121.jpg?1530592713'};{1};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Amulet of Vigor;Whenever a permanent enters the battlefield tapped and under your control, untap it.;rare;Artifact;wwk;Worldwake;;
6;Dan Scott;black;49;['B'];['B'];"""So many have died in search of that map. And now it appears in the hands of the arrogant child Chandra Nalaar.""";{'small': 'https://img.scryfall.com/cards/small/en/wwk/49.jpg?1530592345', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/49.jpg?1530592345', 'large': 'https://img.scryfall.com/cards/large/en/wwk/49.jpg?1530592345', 'png': 'https://img.scryfall.com/cards/png/en/wwk/49.png?1530592345', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/49.jpg?1530592345', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/49.jpg?1530592345'};{3}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Anowon, the Ruin Sage;At the beginning of your upkeep, each player sacrifices a non-Vampire creature.;rare;Legendary Creature — Vampire Shaman;wwk;Worldwake;4;3
7;David Palumbo;black;2;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/wwk/2.jpg?1530592131', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/2.jpg?1530592131', 'large': 'https://img.scryfall.com/cards/large/en/wwk/2.jpg?1530592131', 'png': 'https://img.scryfall.com/cards/png/en/wwk/2.png?1530592131', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/2.jpg?1530592131', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/2.jpg?1530592131'};{2}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Apex Hawks;"Multikicker {1}{W} (You may pay an additional {1}{W} any number of times as you cast this spell.)
Flying
Apex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.";common;Creature — Bird;wwk;Worldwake;2;2
8;rk post;black;95;['G'];['G'];The Mul Daya elves reject their Tajuru kin, calling them arrogant tree-binders who think the roots serve the canopy.;{'small': 'https://img.scryfall.com/cards/small/en/wwk/95.jpg?1530592576', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/95.jpg?1530592576', 'large': 'https://img.scryfall.com/cards/large/en/wwk/95.jpg?1530592576', 'png': 'https://img.scryfall.com/cards/png/en/wwk/95.png?1530592576', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/95.jpg?1530592576', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/95.jpg?1530592576'};{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arbor Elf;{T}: Untap target Forest.;common;Creature — Elf Druid;wwk;Worldwake;1;1
9;Steven Belledin;black;3;['W'];['W'];Until Emeria is freed, he raises his sword in her name.;{'small': 'https://img.scryfall.com/cards/small/en/wwk/3.jpg?1530592135', 'normal': 'https://img.scryfall.com/cards/normal/en/wwk/3.jpg?1530592135', 'large': 'https://img.scryfall.com/cards/large/en/wwk/3.jpg?1530592135', 'png': 'https://img.scryfall.com/cards/png/en/wwk/3.png?1530592135', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/wwk/3.jpg?1530592135', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/wwk/3.jpg?1530592135'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archon of Redemption;"Flying
Whenever Archon of Redemption or another creature with flying enters the battlefield under your control, you may gain life equal to that creature's power.";rare;Creature — Archon;wwk;Worldwake;3;4
