;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Howard Lyon;black;195;[];[];An explorer's essentials in a wild world.;{'small': 'https://img.scryfall.com/cards/small/en/zen/195.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/195.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/195.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/195.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/195.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/195.jpg?1517813031'};{1};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adventuring Gear;"Landfall — Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)";common;Artifact — Equipment;zen;Zendikar;;
1;Thomas M. Baxa;black;40;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/zen/40.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/40.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/40.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/40.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/40.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/40.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aether Figment;"Kicker {3} (You may pay an additional {3} as you cast this spell.)
Aether Figment can't be blocked.
If Aether Figment was kicked, it enters the battlefield with two +1/+1 counters on it.";uncommon;Creature — Illusion;zen;Zendikar;1;1
2;Fred Fields;black;210;['B', 'R'];[];;{'small': 'https://img.scryfall.com/cards/small/en/zen/210.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/210.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/210.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/210.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/210.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/210.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Akoum Refuge;"Akoum Refuge enters the battlefield tapped.
When Akoum Refuge enters the battlefield, you gain 1 life.
{T}: Add {B} or {R}.";uncommon;Land;zen;Zendikar;;
3;Jason Felix;black;41;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/zen/41.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/41.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/41.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/41.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/41.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/41.jpg?1517813031'};{3}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archive Trap;"If an opponent searched their library this turn, you may pay {0} rather than pay this spell's mana cost.
Target opponent puts the top thirteen cards of their library into their graveyard.";rare;Instant — Trap;zen;Zendikar;;
4;Christopher Moeller;black;42;['U'];['U'];;{'small': 'https://img.scryfall.com/cards/small/en/zen/42.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/42.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/42.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/42.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/42.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/42.jpg?1517813031'};{2}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Archmage Ascension;"At the beginning of each end step, if you drew two or more cards this turn, you may put a quest counter on Archmage Ascension.
As long as Archmage Ascension has six or more quest counters on it, if you would draw a card, you may instead search your library for a card, put that card into your hand, then shuffle your library.";rare;Enchantment;zen;Zendikar;;
5;Raymond Swanland;black;211;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/zen/211.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/211.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/211.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/211.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/211.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/211.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arid Mesa;{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.;rare;Land;zen;Zendikar;;
6;Steven Belledin;black;1;['W'];['W'];"""We prepare for the known with daggers, rations, rope, and pitons. But we also prepare for the unknown with billycat tails, pikku roots, hedron chips . . .""";{'small': 'https://img.scryfall.com/cards/small/en/zen/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/1.jpg?1517813031'};{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Armament Master;Other Kor creatures you control get +2/+2 for each Equipment attached to Armament Master.;rare;Creature — Kor Soldier;zen;Zendikar;2;2
7;Steve Argyle;black;2;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/zen/2.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/2.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/2.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/2.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/2.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/2.jpg?1517813031'};{3}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arrow Volley Trap;"If four or more creatures are attacking, you may pay {1}{W} rather than pay this spell's mana cost.
Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.";uncommon;Instant — Trap;zen;Zendikar;;
8;Matt Cavotta;black;79;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/zen/79.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/79.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/79.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/79.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/79.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/79.jpg?1517813031'};{3}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Bala Ged Thief;Whenever Bala Ged Thief or another Ally enters the battlefield under your control, target player reveals a number of cards from their hand equal to the number of Allies you control. You choose one of them. That player discards that card.;rare;Creature — Human Rogue Ally;zen;Zendikar;2;2
9;Austin Hsu;black;156;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/zen/156.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/zen/156.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/zen/156.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/zen/156.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/zen/156.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/zen/156.jpg?1517813031'};{3}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Baloth Cage Trap;"If an opponent had an artifact enter the battlefield under their control this turn, you may pay {1}{G} rather than pay this spell's mana cost.
Create a 4/4 green Beast creature token.";uncommon;Instant — Trap;zen;Zendikar;;
